Name,a,ecc,T0,M0,H,A,Class
" 68346 (2001 KZ66)",1.51,0.42,57200,123.24,16.80,0.25,NEO
" 68372 (2001 PM9)",1.62,0.42,57200,330.07,18.80,0.25,NEO
" 68548 (2001 XR31)",1.71,0.44,57200,123.75,16.50,0.25,NEO
" 68950 (2002 QF15)",1.06,0.34,57200,210.61,16.40,0.25,NEO
" 69230 Hermes (1937 UB)",1.66,0.62,57200,145.49,17.50,0.25,NEO
" 85182 (1991 AQ)",2.22,0.78,57200,127.31,17.10,0.25,NEO
" 85236 (1993 KH)",1.23,0.31,57200,327.52,18.60,0.25,NEO
" 85585 Mjolnir (1998 FG2)",1.30,0.36,57200,290.25,21.60,0.25,NEO
" 85640 (1998 OX4)",1.58,0.49,57200,128.53,21.10,0.25,NEO
" 85713 (1998 SS49)",1.92,0.64,57200,64.29,15.60,0.25,NEO
" 85774 (1998 UT18)",1.40,0.33,55172,200.33,19.20,0.25,NEO
" 85938 (1999 DJ4)",1.85,0.48,57200,153.86,18.60,0.25,NEO
" 85990 (1999 JV6)",1.01,0.31,57200,241.28,20.10,0.25,NEO
" 86039 (1999 NC43)",1.76,0.58,57200,221.92,16.00,0.14,NEO
" 86819 (2000 GK137)",2.00,0.51,57200,104.12,17.40,0.25,NEO
" 88254 (2001 FM129)",1.18,0.63,57200,79.82,17.60,0.25,NEO
" 89136 (2001 US16)",1.36,0.25,57200,10.47,20.20,0.25,NEO
" 89958 (2002 LY45)",1.64,0.89,57200,33.09,17.00,0.25,NEO
" 89959 (2002 NT7)",1.74,0.53,57200,180.70,16.40,0.25,NEO
" 90075 (2002 VU94)",2.13,0.58,57200,133.41,15.20,0.25,NEO
" 90403 (2003 YE45)",1.23,0.28,57200,57.77,17.60,0.25,NEO
" 90416 (2003 YK118)",1.70,0.49,57200,38.87,18.70,0.25,NEO
" 99248 (2001 KY66)",1.87,0.51,57200,125.79,16.30,0.25,NEO
"100085 (1992 UY4)",2.64,0.62,57200,104.19,17.80,0.25,NEO
"101869 (1999 MM)",1.62,0.61,57200,233.95,19.30,0.25,NEO
"101955 Bennu (1999 RQ36)",1.13,0.20,55562,101.70,20.90,0.25,NEO
"103067 (1999 XA143)",1.84,0.58,57200,30.57,16.80,0.25,NEO
"111253 (2001 XU10)",1.75,0.44,57200,59.23,15.10,0.25,NEO
"136617 (1994 CC)",1.64,0.42,57200,304.82,17.70,0.25,NEO
"136618 (1994 CN2)",1.57,0.40,57200,81.70,16.80,0.25,NEO
"136795 (1997 BQ)",1.75,0.48,57200,328.75,18.10,0.25,NEO
"136849 (1998 CS1)",1.49,0.58,57200,164.98,17.60,0.25,NEO
"137108 (1999 AN10)",1.46,0.56,57200,74.80,17.90,0.25,NEO
"137120 (1999 BJ8)",1.90,0.55,57200,72.85,18.10,0.25,NEO
"137126 (1999 CF9)",1.77,0.60,57200,301.64,18.00,0.25,NEO
"137427 (1999 TF211)",2.45,0.61,57200,337.73,15.20,0.25,NEO
"138175 (2000 EE104)",1.00,0.29,57200,322.31,20.30,0.25,NEO
"138404 (2000 HA24)",1.14,0.32,57200,263.14,19.10,0.25,NEO
"138727 (2000 SU180)",2.10,0.61,57200,271.82,19.00,0.25,NEO
"138971 (2001 CB21)",1.03,0.33,57200,169.95,18.40,0.25,NEO
"139359 (2001 ME1)",2.65,0.87,57200,77.04,16.60,0.25,NEO
"139622 (2001 QQ142)",1.42,0.31,57200,15.79,18.40,0.25,NEO
"140039 (2001 SO73)",1.82,0.57,57200,298.72,18.40,0.25,NEO
"140158 (2001 SX169)",1.35,0.46,57200,111.37,18.30,0.25,NEO
"140288 (2001 SN289)",1.78,0.51,57200,18.25,16.70,0.25,NEO
"141053 (2001 XT1)",1.53,0.58,57200,94.38,18.70,0.25,NEO
"141495 (2002 EZ11)",1.11,0.80,57200,225.32,18.20,0.25,NEO
"141525 (2002 FV5)",1.09,0.72,57200,173.91,17.90,0.25,NEO
"141527 (2002 FG7)",1.51,0.63,57200,83.09,18.80,0.25,NEO
"141593 (2002 HK12)",2.00,0.53,57200,198.16,18.10,0.25,NEO
"141614 (2002 JV15)",1.62,0.54,57200,89.23,19.40,0.25,NEO
"141851 (2002 PM6)",1.20,0.85,57200,335.34,17.70,0.25,NEO
"143404 (2003 BD44)",1.97,0.61,57200,108.36,16.80,0.25,NEO
"143487 (2003 CR20)",2.13,0.73,57200,328.00,18.70,0.25,NEO
"143649 (2003 QQ47)",1.09,0.19,57200,90.42,17.40,0.25,NEO
"143651 (2003 QO104)",2.14,0.52,57200,341.53,16.00,0.25,NEO
"143992 (2004 AF)",1.97,0.55,57200,74.42,16.00,0.25,NEO
"144332 (2004 DV24)",1.42,0.29,57200,31.99,16.40,0.25,NEO
"144898 (2004 VD17)",1.51,0.59,57200,296.38,18.80,0.25,NEO
"152560 (1991 BN)",1.44,0.40,57200,124.23,19.00,0.25,NEO
"152561 (1991 RB)",1.45,0.49,57200,169.44,19.00,0.25,NEO
"152664 (1998 FW4)",2.51,0.72,57200,147.72,19.70,0.25,NEO
"152671 (1998 HL3)",1.13,0.37,57200,12.35,20.00,0.25,NEO
"152680 (1998 KJ9)",1.45,0.64,57200,253.10,19.40,0.25,NEO
"152685 (1998 MZ)",1.35,0.57,57200,4.63,19.30,0.25,NEO
"152754 (1999 GS6)",1.19,0.50,57200,225.43,19.10,0.25,NEO
"152770 (1999 RR28)",1.88,0.65,57200,10.25,18.40,0.25,NEO
"152828 (1999 VT25)",1.16,0.52,57200,98.72,21.20,0.25,NEO
"152978 (2000 GJ147)",1.16,0.24,57200,339.26,19.60,0.25,NEO
"153002 (2000 JG5)",1.34,0.80,57200,308.63,18.20,0.25,NEO
"153220 (2000 YN29)",2.52,0.68,57200,177.18,17.40,0.25,NEO
"153311 (2001 MG1)",2.50,0.64,57200,176.81,17.20,0.25,NEO
"153814 (2001 WN5)",1.71,0.47,57200,54.28,18.30,0.25,NEO
"153958 (2002 AM31)",1.70,0.45,57200,99.39,18.30,0.25,NEO
"154019 (2002 CZ9)",1.33,0.36,57200,228.79,22.00,0.25,NEO
"154269 (2002 SM)",1.87,0.49,57200,71.85,17.90,0.25,NEO
"154275 (2002 SR41)",1.08,0.49,57200,27.81,20.10,0.25,NEO
"154276 (2002 SY50)",1.70,0.69,57200,222.20,17.60,0.25,NEO
"154302 (2002 UQ3)",1.72,0.56,57200,184.29,17.60,0.25,NEO
"154330 (2002 VX94)",1.48,0.41,57200,285.84,18.10,0.25,NEO
"154590 (2003 MA3)",1.11,0.40,57200,52.98,21.70,0.25,NEO
"155338 (2006 MZ1)",1.57,0.48,57200,176.48,20.50,0.25,NEO
"159504 (2000 WO67)",2.43,0.62,57200,336.23,16.90,0.25,NEO
"159857 (2004 LJ1)",2.27,0.59,57200,55.59,15.40,0.25,NEO
"161989 Cacus (1978 CA)",1.12,0.21,57200,42.89,17.10,0.09,NEO
"162000 (1990 OS)",1.68,0.46,57200,138.62,19.40,0.25,NEO
"162039 (1996 JG)",1.80,0.66,57200,300.60,19.50,0.25,NEO
"162082 (1998 HL1)",1.25,0.19,57200,339.79,18.90,0.25,NEO
"162116 (1998 SA15)",1.92,0.56,57200,84.16,19.40,0.25,NEO
"162120 (1998 SH36)",1.09,0.57,57200,206.29,20.60,0.25,NEO
"162162 (1999 DB7)",1.21,0.19,57200,99.46,19.90,0.25,NEO
"162173 Ryugu (1999 JU3)",1.19,0.19,57200,266.25,19.20,0.25,NEO
"162183 (1999 NB5)",2.07,0.53,57200,100.75,21.00,0.25,NEO
"162210 (1999 SM5)",2.30,0.70,57200,202.89,19.10,0.25,NEO
"162416 (2000 EH26)",1.85,0.48,57200,356.73,21.70,0.25,NEO
"162422 (2000 EV70)",1.21,0.53,57200,234.77,20.50,0.25,NEO
"162474 (2000 LB16)",1.24,0.36,57200,258.91,18.50,0.25,NEO
"162510 (2000 QW69)",1.38,0.30,57200,175.57,17.20,0.25,NEO
"162567 (2000 RW37)",1.25,0.25,57200,127.25,19.90,0.25,NEO
"162687 (2000 UH1)",1.88,0.54,57200,228.29,19.20,0.25,NEO
"162695 (2000 UL11)",2.12,0.64,57200,243.29,20.10,0.25,NEO
"162783 (2000 YJ11)",1.31,0.23,57200,260.73,20.80,0.25,NEO
"162825 (2001 BO61)",1.77,0.74,57200,0.84,18.00,0.25,NEO
"162882 (2001 FD58)",1.09,0.58,57200,292.86,18.70,0.25,NEO
"162922 (2001 OY13)",1.32,0.38,57200,120.33,20.80,0.25,NEO
"162979 (2001 RA12)",2.04,0.54,57200,286.97,18.00,0.25,NEO
"162998 (2001 SK162)",1.93,0.47,57200,7.55,17.90,0.25,NEO
"163014 (2001 UA5)",1.79,0.45,57200,245.33,17.50,0.25,NEO
"163026 (2001 XR30)",1.30,0.37,57200,357.56,21.00,0.25,NEO
"163051 (2001 YJ4)",2.27,0.57,57200,309.81,16.30,0.25,NEO
"163067 (2002 AP3)",2.04,0.59,57200,187.74,19.80,0.25,NEO
