Name,a,ecc,T0,M0,H,A,Class
"367789 (2011 AG5)",1.43,0.39,57200,175.98,21.80,0.25,NEO
"368203 (2001 KO2)",2.49,0.61,57200,207.37,20.40,0.25,NEO
"368565 (2004 FE5)",1.25,0.60,57200,86.01,20.00,0.25,NEO
"369057 (2008 DK5)",1.56,0.61,57200,308.53,21.30,0.25,NEO
"369264 (2009 MS)",2.01,0.57,57200,169.07,16.30,0.25,NEO
"371660 (2007 CN26)",1.29,0.27,57200,111.47,21.10,0.25,NEO
"373135 (2011 SD173)",1.65,0.50,57200,345.63,19.50,0.25,NEO
"374038 (2004 HW)",2.69,0.64,57200,185.28,17.00,0.25,NEO
"374158 (2004 UL)",1.27,0.93,57200,127.69,18.80,0.25,NEO
"374851 (2006 VV2)",2.39,0.61,57200,91.12,16.80,0.25,NEO
"374855 (2006 VQ13)",1.10,0.45,57200,224.71,20.00,0.25,NEO
"375054 (2007 PF6)",1.30,0.42,57200,175.01,20.60,0.25,NEO
"375103 (2007 TD71)",1.29,0.28,57200,170.86,18.40,0.25,NEO
"377097 (2002 WQ4)",1.96,0.56,57200,178.42,19.60,0.25,NEO
"377732 (2005 XJ8)",1.93,0.62,57200,168.38,17.00,0.25,NEO
"378358 (2007 LD)",1.73,0.44,57200,220.23,19.10,0.25,NEO
"381906 (2010 CL19)",1.54,0.65,57200,322.36,17.80,0.25,NEO
"382395 (1990 SM)",2.11,0.76,57200,65.22,16.20,0.25,NEO
"382406 (1996 AJ1)",1.31,0.78,57200,46.16,20.30,0.25,NEO
"382745 (2003 CC)",1.50,0.33,57200,202.13,20.40,0.25,NEO
"382758 (2003 GY)",1.38,0.32,57200,128.24,20.20,0.25,NEO
"382825 (2003 XB22)",1.41,0.39,57200,243.75,19.40,0.25,NEO
"385252 (2001 EB18)",1.05,0.18,57200,10.09,19.30,0.25,NEO
"385343 (2002 LV)",2.31,0.60,57200,228.86,16.60,0.25,NEO
"385605 (2005 EJ225)",1.71,0.57,57200,167.84,19.00,0.25,NEO
"386454 (2008 XM)",1.22,0.91,57200,341.16,20.00,0.25,NEO
"386847 (2010 LR33)",1.69,0.46,57200,86.65,18.00,0.25,NEO
"387505 (1998 KN3)",1.54,0.87,57200,298.74,18.40,0.25,NEO
"387668 (2002 SZ)",1.30,0.43,57200,274.85,20.40,0.25,NEO
"387746 (2003 MH4)",1.96,0.51,57200,150.27,20.00,0.25,NEO
"388188 (2006 DP14)",1.37,0.78,57200,336.89,18.90,0.25,NEO
"388945 (2008 TZ3)",1.59,0.39,57200,190.88,20.40,0.25,NEO
"389694 (2011 QD48)",1.55,0.49,57200,272.15,18.10,0.25,NEO
"390929 (2005 GP21)",1.31,0.22,57200,116.39,20.50,0.25,NEO
"395207 (2010 HQ80)",1.57,0.49,57200,173.22,19.60,0.25,NEO
"399457 (2002 PD43)",2.51,0.96,57200,100.26,19.10,0.25,NEO
"399774 (2005 NB7)",2.04,0.52,57200,170.87,18.70,0.25,NEO
"401856 (2000 KW43)",1.45,0.48,57200,264.21,20.20,0.25,NEO
"405212 (2003 QC10)",1.37,0.73,57200,95.49,18.10,0.25,NEO
"405762 (2005 YO180)",1.48,0.45,57200,121.82,20.30,0.25,NEO
"406213 (2007 AB2)",1.92,0.55,57200,84.45,20.30,0.25,NEO
"408792 (2000 GF2)",1.34,0.38,57200,245.25,20.50,0.25,NEO
"409836 (2006 QY110)",1.92,0.57,57200,86.75,18.10,0.25,NEO
"410627 (2008 RG1)",1.32,0.44,57200,238.73,20.70,0.25,NEO
"410778 (2009 FG19)",2.91,0.72,57200,62.33,18.10,0.25,NEO
"411165 (2010 DF1)",1.60,0.50,57200,187.43,21.80,0.25,NEO
"413989 (2007 EL88)",1.12,0.52,57200,286.81,19.00,0.25,NEO
"414287 (2008 OB9)",3.21,0.76,57200,39.29,17.70,0.25,NEO
"414990 (2011 EM51)",1.32,0.34,57200,238.22,21.90,0.25,NEO
"415029 (2011 UL21)",2.12,0.65,57200,46.45,15.80,0.25,NEO
"415745 (2000 GV147)",1.75,0.46,57200,182.32,19.20,0.25,NEO
"416195 (2002 TR190)",1.08,0.16,57200,52.80,19.40,0.25,NEO
"416591 (2004 LC2)",1.87,0.73,57200,97.97,18.50,0.25,NEO
"416801 (2005 GC120)",1.19,0.50,57200,223.53,19.60,0.25,NEO
"417211 (2005 XL80)",1.73,0.49,57200,26.93,18.20,0.25,NEO
"417612 (2006 WQ29)",1.60,0.39,57200,260.55,18.30,0.25,NEO
"417634 (2006 XG1)",2.46,0.59,57200,82.91,18.50,0.25,NEO
"417816 (2007 FA)",1.25,0.27,57200,254.84,20.20,0.25,NEO
"417871 (2007 MB24)",1.88,0.70,57200,64.65,18.20,0.25,NEO
"417949 (2007 TB23)",1.26,0.20,57200,329.64,18.70,0.25,NEO
"418094 (2007 WV4)",1.49,0.44,57200,0.92,19.30,0.25,NEO
"418135 (2008 AG33)",1.46,0.34,57200,57.40,19.60,0.25,NEO
"418416 (2008 LV16)",2.09,0.62,57200,96.27,20.30,0.25,NEO
"418849 (2008 WM64)",1.01,0.11,57200,281.60,20.60,0.25,NEO
"419472 (2010 DW1)",1.23,0.20,57200,334.99,19.90,0.25,NEO
"419624 (2010 SO16)",1.00,0.08,57200,107.96,20.50,0.25,NEO
"419880 (2011 AH37)",2.55,0.67,57200,51.41,19.70,0.25,NEO
"420210 (2011 HF)",1.28,0.23,57200,182.83,20.40,0.25,NEO
"422699 (2000 PD3)",2.00,0.59,57200,65.05,18.30,0.25,NEO
"422787 (2001 WS1)",2.60,0.61,57200,93.44,16.70,0.25,NEO
"423709 (2006 BQ6)",1.47,0.40,57200,19.87,19.70,0.25,NEO
"424482 (2008 DG5)",1.26,0.24,57200,304.96,19.60,0.25,NEO
"428209 (2006 VC)",1.94,0.49,57200,48.78,20.00,0.25,NEO
"429094 (2009 SG2)",1.12,0.17,57200,24.02,20.10,0.25,NEO
"429584 (2011 EU29)",2.50,0.70,57200,47.49,19.90,0.25,NEO
"430440 (2000 OH)",2.42,0.59,57200,347.86,17.40,0.25,NEO
"430544 (2002 GM2)",2.20,0.81,57200,48.48,18.60,0.25,NEO
"430804 (2005 AD13)",1.95,0.76,57200,324.87,17.90,0.25,NEO
"433953 (1997 XR2)",1.08,0.20,57200,330.12,20.90,0.25,NEO
"434096 (2002 GO5)",1.90,0.77,57200,41.40,18.00,0.25,NEO
"434188 (2003 AD23)",1.65,0.76,57200,4.63,18.80,0.25,NEO
"434196 (2003 HG2)",1.06,0.13,57200,164.72,21.30,0.25,NEO
"434633 (2005 WB1)",1.26,0.36,57200,325.63,20.90,0.25,NEO
"434677 (2006 BZ7)",1.49,0.37,57200,58.69,17.50,0.25,NEO
"434734 (2006 FX)",1.50,0.44,57200,49.83,20.00,0.25,NEO
"435159 (2007 LQ19)",2.60,0.63,57200,322.70,17.10,0.25,NEO
"435548 (2008 QT3)",2.01,0.53,57200,102.45,18.80,0.25,NEO
"436329 (2010 GX62)",2.95,0.70,57200,17.49,20.10,0.25,NEO
"436724 (2011 UW158)",1.62,0.38,57200,349.64,19.80,0.25,NEO
"436774 (2012 KY3)",1.23,0.49,57200,148.35,18.40,0.25,NEO
"437905 (2001 XU30)",2.19,0.67,57200,36.65,19.80,0.25,NEO
"438105 (2005 GO22)",1.91,0.82,57200,328.05,18.70,0.25,NEO
"438661 (2008 EP6)",1.21,0.29,57200,231.46,19.40,0.25,NEO
"438908 (2009 XO)",1.85,0.54,57200,43.12,20.50,0.25,NEO
"438955 (2010 LN14)",1.16,0.47,57200,315.61,21.10,0.25,NEO
"439313 (2012 VE82)",2.11,0.54,57200,358.79,19.50,0.25,NEO
"439437 (2013 NK4)",1.02,0.55,57200,234.71,18.70,0.25,NEO
"439877 (1999 XM141)",1.24,0.37,57200,59.99,19.50,0.25,NEO
"440212 (2004 OB)",1.68,0.43,57200,317.65,18.80,0.25,NEO
"441641 (2008 WZ13)",2.00,0.56,57200,58.17,18.60,0.25,NEO
"442037 (2010 PR66)",2.93,0.69,57200,1.43,19.30,0.25,NEO
"442523 (2011 WU95)",1.67,0.42,57200,317.99,19.40,0.25,NEO
"443103 (2013 WT67)",1.03,0.19,57200,216.06,18.00,0.25,NEO
"443806 (1998 FL3)",1.26,0.25,57200,342.93,22.00,0.25,NEO
"443880 (2001 UZ16)",1.76,0.43,57200,324.36,19.40,0.25,NEO
"444004 (2004 AS1)",1.07,0.17,57200,29.61,20.50,0.25,NEO
"444193 (2005 SE71)",1.07,0.19,57200,232.91,18.20,0.25,NEO
"444584 (2006 UK)",1.49,0.54,57200,220.04,20.10,0.25,NEO
"445305 (2010 DM56)",1.31,0.29,57200,265.14,19.90,0.25,NEO
"445974 (2013 BJ18)",1.48,0.36,57200,33.31,20.20,0.25,NEO
