Star ,RA,Dec,Vmag,Bmag,Umag
 8742,  -5.156,  -3.975,18.806,19.239,19.137
 8749, -12.550,   3.572,17.334,18.055,18.090
 8754, -15.359,   6.441,15.333,16.156,16.420
 8755,  -5.566,  -3.597,18.962,19.501,19.333
 8756,  -5.844,  -3.322,18.924,19.422,19.247
 8757,  -9.783,   0.698,18.134,18.836,18.900
 8759,   4.742, -14.066,18.232,18.775,18.636
 8760,  -2.856,  -6.376,17.755,18.513,18.464
 8766,  -7.759,  -1.394,18.799,19.367,19.132
 8767,   0.407,  -9.706,15.736,16.340,16.451
 8770,  -1.979,  -7.295,18.284,18.792,18.718
 8777,  -5.044,  -4.205,13.870,14.811,15.410
 8778,   2.608, -11.972,17.420,18.151,18.205
 8787,  -6.945,  -2.311,18.752,19.308,19.008
 8792,  -1.460,  -7.926,18.979,19.318,19.274
 8799,   2.822, -12.283,18.113,18.291,18.467
 8800,  -3.762,  -5.607,18.991,19.325,19.458
 8808,   2.139, -11.633,15.952,16.754,16.944
 8809,  -3.312,  -6.113,18.865,19.319,19.254
 8811, -16.395,   7.284,18.029,18.638,18.630
 8812, -14.091,   4.908,18.603,19.170,19.015
 8829,  -1.449,  -8.078,16.429,16.517,16.585
 8832,  -6.914,  -2.522,18.960,19.566,19.361
 8835,  -6.686,  -2.767,18.691,19.315,19.219
 8838,  -2.822,  -6.709,18.905,19.428,19.366
 8841, -12.176,   2.842,17.308,18.010,18.050
 8844,  -3.281,  -6.257,18.677,19.240,19.096
 8845, -13.835,   4.532,16.183,16.960,17.077
 8865,  -0.892,  -8.776,18.746,19.334,19.285
 8869,   4.144, -13.894,18.933,19.469,19.354
 8874,   0.724, -10.455,18.492,19.107,19.048
 8886, -15.363,   5.936,15.870,16.651,16.879
 8893,  -3.894,  -5.829,18.939,19.498,19.367
 8905,  -4.446,  -5.313,17.702,18.398,18.396
 8910, -11.066,   1.435,18.976,19.580,19.395
 8915,  -0.783,  -9.074,18.994,19.527,19.431
 8916, -15.286,   5.750,18.791,19.335,19.086
 8917,  -3.145,  -6.676,16.873,17.581,17.694
 8921,  -5.497,  -4.299,18.834,19.308,19.144
 8923,  -6.497,  -3.294,17.471,17.448,17.086
 8929, -10.158,   0.405,18.629,19.212,19.019
 8933,   1.853, -11.846,18.970,19.477,19.404
 8936,  -7.586,  -2.257,18.749,19.230,19.112
 8939,  -9.381,  -0.447,18.671,19.189,19.048
 8944, -11.630,   1.823,15.139,15.983,16.360
 8947,  -5.634,  -4.320,18.544,19.177,18.985
 8967,   4.782, -14.972,18.408,19.064,19.048
 8968,   4.623, -14.812,18.246,18.955,18.942
 8970,  -8.964,  -1.023,16.393,17.276,17.387
 8973,  -1.410,  -8.753,18.809,19.341,19.084
 8975,  -5.035,  -5.072,17.665,18.360,18.285
 8977, -10.431,   0.437,16.073,16.182,16.523
 8980, -12.624,   2.665,18.078,18.764,18.755
 8986,  -0.482,  -9.744,17.892,18.494,18.413
 8989,  -3.914,  -6.269,17.502,18.177,18.186
 8991,  -9.026,  -1.057,15.759,16.317,16.421
 8997,  -5.639,  -4.539,15.799,15.953,16.348
 8998,  -9.734,  -0.365,14.575,15.466,15.915
 9005,   5.316, -15.675,18.975,19.407,19.411
 9013, -14.382,   4.353,18.683,19.213,19.110
 9014, -14.802,   4.784,18.688,19.216,19.198
 9017,  -1.606,  -8.727,18.609,19.181,19.034
 9021, -10.358,   0.175,18.621,19.283,19.079
 9029, -17.357,   7.346,17.517,18.255,18.294
 9039,   1.539, -12.001,17.342,18.088,18.139
 9040,  -6.517,  -3.822,17.702,18.397,18.456
 9044,  -5.000,  -5.377,18.467,19.178,19.062
 9049,  -3.421,  -6.996,18.758,19.142,19.165
 9050,  -5.113,  -5.275,18.762,19.415,19.269
 9053,  -5.364,  -5.031,18.496,19.106,18.884
 9057, -10.073,  -0.240,18.211,18.907,18.897
 9061,  -2.231,  -8.260,18.814,19.334,19.266
 9065,  -7.829,  -2.590,18.191,18.852,18.868
 9074,  -6.223,  -4.250,18.548,19.140,19.004
 9081,  -7.002,  -3.485,17.698,18.398,18.412
 9086,  -5.048,  -5.499,18.753,19.255,19.219
 9090, -11.981,   1.570,18.929,19.515,19.435
 9094,  -0.436, -10.212,17.192,17.213,16.837
 9103,  -6.548,  -4.038,18.977,19.314,18.911
 9113, -17.498,   7.161,17.796,18.419,18.458
 9127,   2.849, -13.660,18.988,19.405,19.398
 9133,  -7.750,  -2.925,18.886,19.418,19.316
 9136,  -4.707,  -6.035,18.621,19.253,19.124
 9137, -14.661,   4.153,18.239,18.878,18.847
 9144, -15.154,   4.638,18.475,19.059,19.040
 9149,   4.986, -15.887,17.794,18.496,18.485
 9153,  -4.650,  -6.149,18.819,19.255,19.215
 9158, -14.212,   3.605,14.980,15.852,16.202
 9160,  -8.314,  -2.449,18.800,19.305,19.202
 9162,  -0.653, -10.255,16.948,17.658,17.770
 9165,  -5.099,  -5.746,18.808,19.275,19.216
 9166,  -2.795,  -8.093,18.564,19.134,19.105
 9172,  -4.747,  -6.146,18.421,19.096,19.058
 9179,  -7.971,  -2.880,18.950,19.405,19.388
 9180,  -0.827, -10.148,17.703,18.411,18.402
 9181,   4.536, -15.570,18.390,18.895,18.833
 9186,  -9.265,  -1.574,18.606,19.104,19.020
 9197, -13.085,   2.288,18.873,19.312,19.242
 9200, -15.863,   5.140,18.935,19.492,19.466
 9205,   4.261, -15.395,18.762,19.351,19.250
 9224, -13.640,   2.741,18.724,19.186,19.183
 9226,  -6.419,  -4.657,18.782,19.275,19.204
 9228,   0.563, -11.765,17.958,18.601,18.620
 9232,  -8.046,  -3.035,18.934,19.495,19.327
 9234, -10.648,  -0.375,16.040,16.864,17.035
 9237,  -7.576,  -3.519,17.629,18.271,18.311
 9248,  -8.467,  -2.660,18.947,19.505,19.382
 9258, -13.028,   1.974,16.202,16.967,17.142
 9260,  -1.790,  -9.497,18.874,19.379,19.286
 9266, -17.172,   6.204,18.908,19.443,19.368
 9267,  -6.980,  -4.265,17.330,17.350,16.969
 9273,  -8.397,  -2.848,18.669,19.199,19.107
 9275, -17.407,   6.402,18.457,19.087,19.000
 9276,  -4.199,  -7.142,18.823,19.310,19.218
 9281, -10.110,  -1.141,15.378,16.223,16.441
 9299,  -5.953,  -5.474,18.993,19.487,19.403
 9305,  -4.836,  -6.628,18.979,19.516,19.371
 9307,  -8.522,  -2.902,17.514,18.158,18.172
 9308,  -6.502,  -4.970,18.868,19.361,19.331
 9315, -16.273,   5.015,18.329,19.064,18.936
 9316, -11.132,  -0.274,18.865,19.480,19.333
 9324,  -8.957,  -2.534,18.839,19.358,19.295
 9327,  -8.003,  -3.514,17.963,18.346,18.393
 9329,  -5.937,  -5.628,18.972,19.555,19.461
 9330, -14.145,   2.774,18.978,19.458,19.231
 9334,   0.375, -12.048,18.726,19.318,19.229
 9335, -16.806,   5.501,18.846,19.350,19.227
 9340, -10.016,  -1.503,18.283,18.889,18.869
 9345,  -7.436,  -4.163,18.713,19.887,19.584
 9352,   1.836, -13.602,18.260,18.927,18.802
 9353, -15.743,   4.326,18.993,19.479,19.437
 9354, -13.566,   2.081,18.273,18.854,18.863
 9355,  -9.664,  -1.923,15.964,16.144,16.480
 9358,  -3.858,  -7.853,18.275,18.936,18.881
 9367,  -1.149, -10.626,18.844,19.330,19.025
 9370,  -0.165, -11.634,18.935,19.478,19.302
 9373,   2.045, -13.877,18.753,19.298,19.190
 9375, -13.838,   2.294,18.950,19.451,19.342
 9381,   0.660, -12.507,18.866,19.374,19.293
 9386,  -5.479,  -6.298,17.666,18.349,18.382
 9387,  -5.755,  -6.020,17.145,18.268,17.987
 9395,  -4.412,  -7.424,18.761,19.293,19.222
