Star ,RA,Dec,Vmag,Bmag,Umag
    8,  11.883,  14.729,14.659,15.562,15.894
   12,  19.811,   6.584,18.549,19.215,19.148
   26,   7.500,  18.911,15.897,16.409,16.520
   30,  15.700,  10.521,14.467,15.404,15.762
   36,  11.310,  14.969,14.544,15.514,15.904
   45,   5.005,  21.212,18.198,18.847,18.781
   48,   8.308,  17.828,17.782,18.458,18.441
   49,  10.242,  15.866,17.701,18.380,18.368
   63,  17.138,   8.715,18.000,18.780,18.717
   70,   8.146,  17.828,18.366,19.028,19.006
   85,   3.497,  22.418,18.718,19.320,19.189
   95,   1.890,  23.985,18.697,19.382,19.223
  102,  22.296,   3.130,16.103,16.299,16.644
  115,  15.273,  10.296,18.699,19.313,19.256
  118,  17.371,   8.130,18.914,19.420,19.396
  120,   1.552,  24.158,18.943,19.452,19.335
  122,  15.335,  10.175,16.731,17.524,17.657
  132,  13.786,  11.658,17.109,17.146,16.860
  133,  18.868,   6.453,16.494,17.250,17.380
  140,   9.700,  15.738,18.760,19.286,19.233
  168,  21.584,   3.416,18.952,19.577,19.362
  200,  21.815,   2.927,18.941,19.466,19.379
  201,   1.040,  24.047,18.841,19.366,19.225
  204,   9.533,  15.429,17.278,18.012,18.072
  208,  20.465,   4.245,17.156,17.923,17.954
  209,  13.316,  11.565,18.162,18.790,18.801
  214,  21.727,   2.884,17.426,18.110,18.193
  225,  19.907,   4.694,16.169,16.656,16.838
  226,   5.807,  19.067,18.714,19.292,19.231
  235,   4.589,  20.246,18.447,19.172,19.124
  254,  11.690,  12.827,17.451,17.425,17.074
  261,  21.570,   2.658,15.896,16.294,16.577
  271,  21.588,   2.586,17.528,18.140,18.465
  290,  11.335,  12.937,18.272,18.879,18.867
  294,  17.955,   6.144,17.719,18.446,18.466
  299,   7.783,  16.474,18.266,19.022,18.960
  302,   3.383,  20.906,18.839,19.375,19.309
  306,   9.982,  14.193,18.604,19.259,19.115
  307,   6.519,  17.705,18.718,19.164,19.177
  323,  10.908,  13.112,18.203,18.861,18.805
  332,   7.462,  16.558,13.305,14.506,15.372
  338,  17.748,   6.045,17.612,17.567,16.972
  344,   9.732,  14.178,17.753,18.487,18.480
  351,  22.368,   1.204,18.047,18.770,18.768
  373,  20.992,   2.424,18.958,19.541,19.462
  375,  12.252,  11.363,18.302,18.456,18.683
  393,   5.243,  18.362,17.574,18.270,18.320
  402,  14.957,   8.394,17.051,17.760,17.814
  405,   6.120,  17.370,14.367,15.353,15.825
  409,   5.896,  17.579,18.244,18.950,18.634
  412,  16.247,   7.029,16.113,16.218,16.590
  416,  16.513,   6.739,17.597,18.293,18.349
  422,   9.911,  13.464,18.861,19.449,19.372
  501,  -0.747,  23.591,17.086,17.872,17.915
  505,  14.666,   7.931,16.316,16.818,16.971
  514,  10.949,  11.685,18.670,19.267,19.122
  515,  14.176,   8.379,16.914,17.650,17.726
  518,   6.428,  16.251,18.780,19.297,19.230
  528,  10.171,  12.422,18.440,19.073,19.050
  530,   5.576,  17.077,18.922,19.268,19.269
  540,   2.697,  19.926,17.807,18.565,18.504
  546,  21.616,   0.599,18.374,19.271,18.978
  547,  16.230,   6.126,18.627,19.257,19.148
  553,  15.676,   6.641,18.856,19.312,19.278
  554,  12.525,   9.860,18.705,19.220,19.075
  577,   5.610,  16.731,18.810,19.338,19.280
  603,  10.010,  12.097,18.270,18.830,18.777
  604,  10.835,  11.254,18.548,19.117,19.110
  605,   2.839,  19.362,18.090,18.796,18.783
  615,   5.670,  16.452,18.455,19.727,18.992
  621,  14.378,   7.555,17.484,18.198,18.229
  638,  20.180,   1.510,15.243,16.115,16.340
  640,  14.221,   7.608,18.936,19.389,19.382
  646,  13.741,   8.058,18.842,19.431,19.429
  672,   0.178,  21.658,18.684,18.833,19.033
  674,  16.820,   4.739,17.754,18.447,18.473
  687,  11.089,  10.480,16.181,16.948,17.174
  688,   7.729,  13.897,16.814,16.819,16.414
  692,   0.095,  21.597,18.995,19.545,19.420
  693,  11.942,   9.584,18.934,19.503,19.369
  696,   7.439,  14.155,18.654,19.196,18.736
  701,  12.408,   9.067,17.289,17.975,18.047
  702,   4.919,  16.680,16.005,16.136,16.465
  703,   5.593,  15.991,18.549,19.101,19.068
  707,   8.537,  12.984,18.935,19.427,19.323
  716,   4.327,  17.162,14.978,15.858,16.216
  729,  16.569,   4.606,18.428,19.105,19.035
  733,   9.615,  11.682,15.717,16.354,16.446
  736,  16.361,   4.777,15.418,16.247,16.554
  746,   5.242,  16.050,16.265,16.348,16.578
  747,  15.304,   5.795,17.887,18.574,18.576
  752,  12.876,   8.250,15.774,16.593,16.822
  764,  16.862,   4.095,18.672,19.141,19.116
  795,  -1.472,  22.536,18.289,18.961,18.902
  799,  -0.086,  21.129,18.291,18.973,18.916
  809,   1.888,  19.091,18.709,19.289,19.189
  811,   4.684,  16.259,17.443,18.146,18.143
  819,   5.096,  15.798,16.143,16.232,16.530
  824,   6.899,  13.946,17.868,18.592,18.541
  840,  18.218,   2.283,18.957,19.523,19.423
  860,  12.873,   7.649,17.884,18.620,18.592
  878,   0.884,  19.733,18.296,18.997,19.032
  879,  12.109,   8.336,18.947,19.446,19.458
  886,   8.524,  11.961,18.116,18.786,18.791
  889,   8.096,  12.379,18.538,19.114,19.047
  897,  10.296,  10.096,16.445,17.229,17.341
  901,  17.098,   3.114,18.842,19.362,19.230
  905,  17.180,   2.992,18.660,19.223,18.998
  906,  11.636,   8.661,17.767,18.520,18.511
  917,   8.091,  12.206,18.646,19.281,19.177
  921,  19.039,   0.991,18.485,19.005,18.884
  931,   5.922,  14.320,18.734,19.347,19.206
  932,   9.309,  10.875,18.728,19.315,19.193
  936,  19.196,   0.745,18.845,19.405,19.279
  942,  11.106,   8.998,16.518,17.289,17.394
  949,  15.210,   4.769,18.618,19.308,19.204
  959,   8.915,  11.108,18.873,19.439,19.317
  968,   7.880,  12.126,18.056,18.694,18.709
  978,   4.981,  15.025,18.467,19.094,19.157
  984,  14.457,   5.351,17.807,18.492,18.514
 1002,  -2.087,  22.077,18.186,18.784,18.821
 1009,  10.701,   9.099,17.457,18.217,18.214
 1025,  -1.387,  21.247,18.459,19.102,19.060
 1041,   8.062,  11.571,18.661,19.225,19.177
 1051,  12.809,   6.701,17.229,17.959,17.997
 1056,  11.949,   7.558,16.598,17.359,17.443
 1057,   8.889,  10.678,17.195,17.936,17.953
 1058,  -1.998,  21.700,17.985,19.423,19.364
 1068,  10.329,   9.157,18.134,18.693,18.614
 1071,   3.619,  15.975,18.996,19.579,19.454
 1082,   9.914,   9.502,17.668,18.310,18.395
 1084,  18.087,   1.123,14.402,15.363,15.849
 1096,  11.826,   7.431,17.924,18.638,18.626
 1098,   3.134,  16.256,18.562,19.067,18.953
 1101,  14.225,   4.944,18.482,19.085,18.990
 1102,  11.960,   7.250,16.981,17.704,17.857
 1128,  -2.880,  22.166,17.748,18.486,18.382
 1130,  14.264,   4.754,18.804,19.429,19.208
 1133,   9.677,   9.392,18.592,19.209,19.067
 1135,   6.022,  13.087,18.613,19.110,19.007
 1139,  11.699,   7.286,18.810,19.298,19.266
 1153,   0.262,  18.828,18.787,19.346,19.272
 1170,  14.989,   3.738,18.910,19.513,19.364
 1171,  19.028,  -0.404,17.745,17.949,18.189
 1173,   7.513,  11.337,18.647,18.868,19.029
 1174,  13.604,   5.118,18.603,19.195,19.130
 1178,   1.866,  17.056,18.815,19.419,19.316
 1186,   9.306,   9.448,18.960,19.528,19.403
 1197,   9.359,   9.302,18.261,18.920,18.892
 1205,   1.986,  16.737,18.908,19.516,19.385
 1222,  10.323,   8.138,14.806,15.757,16.097
 1226,  18.216,   0.045,18.253,18.942,18.891
 1227,   5.340,  13.185,16.676,17.407,17.487
 1242,  14.379,   3.903,18.007,18.684,18.669
 1245,   7.520,  10.894,18.912,19.365,19.307
 1252,   6.083,  12.332,18.842,19.379,19.362
 1254,  11.941,   6.352,12.953,13.690,14.258
 1256,  -0.791,  19.281,18.884,19.244,19.254
 1258,  12.889,   5.366,18.837,19.404,19.284
 1277,   2.593,  15.724,18.720,19.453,19.218
 1278,   5.294,  12.982,18.802,19.259,19.182
 1288,  13.677,   4.404,16.711,17.468,17.524
 1293,   7.235,  10.962,18.914,19.376,19.297
 1296,  -0.133,  18.434,18.110,18.818,18.756
 1308,  18.744,  -0.853,16.980,17.027,16.941
 1320,   9.962,   8.061,18.997,19.437,19.387
 1323,  17.403,   0.426,17.921,18.628,18.580
 1326,   5.113,  12.945,17.473,17.588,17.770
 1329,  -2.970,  21.112,18.482,19.141,19.057
 1331,  -2.615,  20.745,18.671,19.236,19.171
 1352,   5.615,  12.333,15.985,16.165,16.544
 1357,  11.272,   6.529,18.670,19.172,18.834
 1359,  -0.174,  18.151,18.268,18.815,18.723
 1361,   8.647,   9.188,17.386,18.096,18.134
 1388,   0.902,  16.838,18.725,19.338,19.140
 1392,   6.261,  11.392,18.525,19.146,19.076
 1400,  -0.089,  17.765,16.747,17.468,17.578
 1422,  15.036,   2.242,13.612,14.618,15.359
 1450,  18.350,  -1.290,18.701,19.242,19.231
 1465,  -2.613,  19.981,18.020,18.745,18.708
 1468,   1.033,  16.265,17.560,18.219,18.272
 1469,   5.771,  11.448,18.007,18.666,18.656
 1475,  14.760,   2.262,16.138,16.412,16.712
 1481,  17.909,  -1.026,16.957,17.672,17.744
 1499,   5.797,  11.272,18.581,19.130,19.054
 1500,  18.423,  -1.628,18.460,19.096,19.044
 1506,  18.961,  -2.209,17.937,18.622,18.634
 1507,   4.223,  12.837,16.266,17.045,17.209
 1511,   7.450,   9.550,17.533,18.225,18.254
 1517,   3.430,  13.614,18.409,19.036,18.985
 1539,   9.637,   7.160,18.908,19.435,19.332
 1543,   5.090,  11.763,16.590,17.348,17.441
 1548,  15.177,   1.449,15.701,16.522,16.785
 1550,   6.808,   9.991,18.835,19.337,19.258
 1559,  -0.519,  17.396,17.355,17.356,17.007
 1563,  13.006,   3.622,15.985,16.134,16.507
 1564,  10.361,   6.322,18.660,19.181,19.194
 1572,  14.136,   2.401,15.652,16.046,16.346
 1581,  11.692,   4.864,15.555,16.401,16.624
 1585,  11.016,   5.530,17.455,18.141,18.213
 1590,   6.990,   9.599,17.685,18.425,18.404
 1593,   4.963,  11.643,18.552,19.149,19.076
 1600,   5.357,  11.201,18.982,19.474,19.438
 1617,   0.486,  16.064,17.565,18.301,18.330
 1619,  15.969,   0.279,17.367,18.093,18.164
 1627,  15.807,   0.390,18.539,19.162,19.100
 1633,   9.045,   7.275,18.636,19.192,19.148
 1636,  12.787,   3.445,18.759,19.314,19.234
 1637,  15.707,   0.450,18.808,19.343,19.294
 1640,  16.627,  -0.513,17.649,18.373,18.379
 1644,   7.411,   8.869,16.514,17.235,17.391
 1657,  11.397,   4.738,18.839,19.268,19.199
 1676,   5.120,  11.027,18.486,19.113,19.023
 1681,   7.869,   8.183,18.685,19.543,19.156
 1685,  18.337,  -2.541,14.148,15.169,15.731
 1689,   1.095,  15.024,15.935,16.119,16.502
 1701,   2.178,  13.877,17.030,17.747,17.870
 1702,  16.003,  -0.222,18.747,19.270,19.220
 1706,   3.697,  12.306,18.028,18.696,18.708
 1722,   1.234,  14.718,18.762,19.221,19.103
 1723,  -2.987,  18.985,16.008,16.159,16.531
 1728,  -0.303,  16.239,17.875,18.579,18.530
 1732,   1.683,  14.193,15.439,16.296,16.530
 1740,  10.998,   4.644,15.574,16.429,16.684
 1746,  -1.214,  17.030,16.633,16.673,16.673
 1748,  17.070,  -1.611,16.731,17.482,17.597
 1757,   6.586,   9.023,18.993,19.474,19.427
 1761,   0.852,  14.832,13.925,14.949,15.578
 1767,  11.028,   4.445,18.857,19.353,19.247
 1772,  16.155,  -0.830,18.918,19.460,19.343
 1775,  10.660,   4.778,17.427,18.153,18.183
 1791,   5.883,   9.535,16.001,16.156,16.527
 1797,   4.443,  10.933,15.956,16.125,16.515
 1798,   9.326,   5.956,18.164,18.862,18.819
 1827,   6.383,   8.847,17.296,18.023,18.102
 1829,   3.022,  12.247,18.668,19.235,19.127
 1834,  -4.325,  19.669,18.917,19.475,19.412
 1835,   6.774,   8.399,18.766,19.379,19.251
 1839,   8.068,   7.062,17.637,18.388,18.425
 1840,  -3.593,  18.896,18.639,19.281,19.230
 1844,   1.566,  13.656,18.901,19.457,19.382
 1855,  14.981,  -0.065,15.673,15.948,16.259
 1864,  -5.327,  20.526,17.354,18.077,18.140
 1866,   9.566,   5.396,18.796,19.156,19.236
 1868,   3.351,  11.718,18.208,18.924,18.864
 1869,   6.246,   8.770,18.582,19.176,19.141
 1877,  -2.706,  17.804,18.672,19.253,19.157
 1882,   3.223,  11.782,18.932,19.452,19.421
 1883,  -4.980,  20.093,16.965,17.668,17.732
 1896,   2.546,  12.393,18.384,19.032,18.961
 1897,   8.873,   5.949,17.059,17.744,17.856
 1902,   0.515,  14.430,15.894,16.086,16.458
 1948,  10.561,   4.008,17.686,18.388,18.441
 1958,  -3.781,  18.548,18.637,19.170,19.131
 1981,   1.266,  13.364,18.874,19.432,19.376
 1983,  -3.003,  17.686,18.530,19.295,19.088
 1990,   2.078,  12.499,17.782,18.499,18.485
 1994,   4.313,  10.214,18.146,18.690,18.603
 1999,  10.607,   3.782,16.922,17.667,17.731
 2000,   3.695,  10.823,18.727,19.252,19.148
 2009,   6.834,   7.563,16.017,16.134,16.494
 2011,  12.280,   1.994,17.107,17.790,17.873
 2017,   8.487,   5.845,15.463,16.309,16.587
 2026,  15.108,  -0.949,18.746,19.332,19.255
 2031,   2.614,  11.776,18.945,19.500,19.333
 2034,  13.840,   0.320,16.111,16.433,16.711
 2038,  -2.338,  16.768,18.904,19.371,19.282
 2052,   5.894,   8.345,18.424,19.045,18.997
 2054,   8.949,   5.229,17.294,18.005,18.088
 2057,   3.822,  10.424,17.926,18.625,18.606
 2059,  10.157,   3.968,17.718,18.397,18.422
 2073,   2.989,  11.220,17.481,18.216,18.174
 2075,   9.519,   4.568,18.893,19.494,19.401
 2079,   0.381,  13.856,18.334,19.050,18.917
 2087,   8.041,   6.028,16.917,17.662,17.684
 2092,  13.664,   0.274,15.978,16.189,16.551
 2094,   5.909,   8.186,18.979,19.432,19.397
 2101,   0.914,  13.240,16.983,17.760,17.807
 2103,  -1.460,  15.638,14.405,15.366,15.789
 2108,  11.251,   2.673,18.834,19.414,19.312
 2114,  -3.712,  17.868,18.057,18.669,18.643
 2122,  14.781,  -0.971,16.418,17.187,17.340
 2127,  -1.208,  15.286,15.188,16.035,16.390
 2133,   7.275,   6.626,18.974,19.443,19.378
 2142,  -1.525,  15.482,18.974,19.410,19.352
 2144,   7.772,   6.022,18.982,19.459,19.392
 2147,   1.802,  12.080,18.747,19.226,19.133
 2153,   0.098,  13.769,18.958,19.360,19.371
 2156,  16.185,  -2.641,17.443,18.159,18.228
 2160,   3.971,   9.798,18.900,19.449,19.274
 2173,  10.252,   3.334,15.927,16.133,16.473
 2174,  10.045,   3.537,18.802,19.300,19.194
 2185,   7.545,   6.028,17.224,17.923,18.069
 2195,  -5.473,  19.203,18.509,18.986,18.856
 2205,   1.915,  11.647,18.570,19.168,19.109
 2207,   4.341,   9.174,18.933,19.421,19.376
 2214,  -4.569,  18.202,18.907,19.534,19.409
 2216,  -1.673,  15.261,18.543,19.127,19.019
 2239,   9.356,   3.951,18.380,19.019,19.038
 2242,   5.952,   7.407,17.354,18.107,18.126
 2252,   6.671,   6.620,18.407,19.048,18.939
 2255,  13.020,   0.126,18.945,19.527,19.403
 2276,  -4.646,  18.027,17.826,18.525,18.507
 2294,   6.593,   6.555,18.588,19.194,19.172
 2299,  -0.972,  14.214,15.384,16.222,16.452
 2303,   4.208,   8.920,18.869,19.519,19.364
 2310,  12.194,   0.750,18.139,18.834,18.842
 2319,  14.251,  -1.377,15.266,16.065,16.253
 2321,  -4.987,  18.194,16.018,16.454,16.644
 2329,  11.662,   1.215,17.350,18.087,18.126
 2334,   0.409,  12.666,18.477,19.082,19.024
 2340,  11.134,   1.706,18.330,18.972,19.032
 2341,   4.206,   8.762,17.490,18.213,18.248
 2346,   5.965,   6.947,18.842,19.425,19.340
 2349,  13.477,  -0.755,18.712,19.207,19.128
 2357,   4.345,   8.509,15.026,15.836,16.130
 2363,  10.839,   1.845,17.758,18.503,18.461
 2380,  10.088,   2.506,18.000,18.702,18.737
 2392,   7.726,   4.836,16.677,17.396,17.467
 2413,   4.776,   7.756,18.802,19.313,19.131
 2416,   7.226,   5.254,18.839,19.336,19.244
 2428,   5.827,   6.608,17.449,18.149,18.194
 2431,  -2.384,  14.948,18.158,18.821,18.803
 2432,   3.683,   8.781,15.019,15.821,16.085
 2435,  11.101,   1.202,18.940,19.492,19.408
 2436,  -3.559,  16.119,18.746,19.291,19.311
 2438,   4.717,   7.700,18.357,18.977,19.025
 2441,   6.631,   5.743,18.280,18.848,18.757
 2449,   4.142,   8.233,18.657,19.131,19.017
 2461,   5.736,   6.504,16.598,17.371,17.490
 2464,   0.522,  11.805,15.826,16.347,16.523
 2468,   7.175,   5.019,18.393,19.068,19.052
 2475,  -2.796,  15.142,18.993,19.464,19.400
 2503,  -1.517,  13.736,18.252,18.961,18.930
 2515,  -3.956,  16.149,14.302,15.236,15.679
 2520,  11.136,   0.760,18.004,18.694,18.699
 2528,  -3.578,  15.696,16.122,16.216,16.535
 2535,  -4.119,  16.229,18.808,19.310,19.394
 2540,   2.381,   9.610,18.670,19.192,19.160
 2545,   6.106,   5.804,18.995,19.483,19.393
 2552,   4.585,   7.322,16.970,17.680,17.778
 2555,   6.908,   4.928,17.022,17.771,17.796
 2560,  11.469,   0.245,15.281,16.133,16.448
 2576,   6.819,   4.858,17.062,17.746,17.781
 2584,   0.576,  11.165,16.941,16.934,16.686
 2585,  -1.639,  13.416,18.939,19.412,19.240
 2587,   8.882,   2.694,18.785,19.296,19.267
 2595,  -5.783,  17.579,18.380,19.041,19.028
 2605,   6.389,   5.149,17.622,17.647,17.148
 2606,  -1.920,  13.597,17.201,17.919,17.985
 2617,   5.325,   6.200,17.792,17.783,17.296
 2619,   8.975,   2.461,16.157,16.581,16.750
 2630,   4.314,   7.167,18.182,18.825,18.833
 2642,   2.100,   9.386,17.161,17.837,17.918
 2643,  11.305,   0.000,17.246,17.967,17.976
 2657,   1.045,  10.415,15.616,15.885,16.252
 2661,   7.807,   3.524,18.508,19.164,18.984
 2670,   5.322,   6.003,16.293,17.060,17.239
 2683,   8.109,   3.117,17.144,17.811,17.942
 2685,  -5.101,  16.544,18.123,18.775,18.777
 2687,   7.239,   3.973,14.527,15.413,15.800
 2688,   4.357,   6.910,16.390,17.136,17.244
 2699,   2.526,   8.701,17.317,18.042,18.050
 2703,   3.949,   7.234,13.542,14.655,15.425
 2712,   6.167,   4.931,17.170,17.855,17.936
 2720,  -5.884,  17.153,15.689,16.532,16.777
 2724,   4.945,   6.124,17.619,18.252,18.283
 2730,   3.721,   7.361,18.588,19.252,19.213
 2737,   3.613,   7.441,17.921,18.628,18.453
 2752,  -6.661,  17.846,18.231,18.846,18.875
 2763,  -6.553,  17.665,17.786,18.448,18.439
 2764,   7.046,   3.831,18.962,19.649,19.460
 2765,   3.748,   7.191,18.479,19.169,19.078
 2767,   2.092,   8.857,18.318,18.914,18.825
 2768,  15.002,  -4.309,16.003,16.504,16.710
 2769,   9.588,   1.215,15.320,16.163,16.482
 2770,   6.138,   4.732,17.080,17.824,17.875
 2772,   5.257,   5.625,18.453,19.093,19.027
 2774,   2.616,   8.310,17.777,18.486,18.445
 2777,   9.286,   1.496,16.028,16.840,17.001
 2779,  -5.898,  16.942,18.154,18.828,18.851
 2787,  -4.789,  15.767,15.358,16.090,16.294
 2806,   6.164,   4.549,18.618,18.858,19.015
 2810,   2.517,   8.225,18.574,19.141,19.022
 2813,   8.364,   2.256,18.220,18.871,18.903
 2814,  -1.476,  12.272,18.417,18.953,18.824
 2821,   6.750,   3.871,18.789,19.425,19.178
 2824,   1.081,   9.635,15.855,16.109,16.449
 2828,  -0.718,  11.437,18.729,19.283,19.215
 2843,   5.849,   4.676,16.645,17.392,17.530
 2846,  11.507,  -1.105,17.803,18.485,18.522
 2847,  -4.187,  14.877,18.520,19.064,18.995
 2857,   4.112,   6.407,18.250,18.884,18.860
 2858,   9.070,   1.347,18.804,19.407,19.300
 2863,   5.421,   5.056,18.958,19.395,19.276
 2864,   0.163,  10.404,17.341,18.083,18.139
 2872,   8.065,   2.306,17.191,17.913,17.942
 2878,  14.361,  -4.144,18.960,19.453,19.407
 2882,   7.335,   3.017,18.518,19.194,19.098
 2883,   5.582,   4.804,15.412,16.281,16.532
 2889,   9.882,   0.392,18.270,18.958,18.882
 2898,   1.232,   9.167,18.872,19.393,19.328
 2899,   8.113,   2.145,18.650,19.119,19.048
 2904,   6.559,   3.721,18.809,19.388,19.235
 2905,   5.936,   4.345,17.483,18.147,18.204
 2910,   1.099,   9.256,18.898,19.414,19.300
 2922,   7.381,   2.778,18.568,19.119,18.968
 2935,  11.189,  -1.145,18.738,19.291,19.165
 2937,   8.793,   1.289,16.578,17.331,17.399
 2939,   7.600,   2.491,18.968,19.516,19.349
 2945,   8.093,   1.962,16.363,17.131,17.248
 2951,   1.017,   9.137,17.603,18.329,18.359
 2953,  10.389,  -0.427,17.762,18.472,18.477
 2956,   9.657,   0.296,17.904,18.551,18.586
 2957,   1.998,   8.089,16.095,16.190,16.497
 2976,   1.802,   8.232,15.461,16.285,16.569
 2981,  10.132,  -0.262,18.887,19.419,19.277
 2984,  14.203,  -4.420,17.446,18.130,18.141
 2989,   7.025,   2.892,14.799,15.700,16.042
 2997,   0.850,   9.152,15.817,16.075,16.409
 3009,  11.746,  -1.981,17.014,17.739,17.831
 3012,   1.398,   8.552,18.884,19.429,19.256
 3016,  11.353,  -1.610,17.547,17.720,17.888
 3036,  12.250,  -2.620,18.534,19.229,19.140
 3047,   1.151,   8.657,18.555,19.132,19.158
 3048,   5.956,   3.761,18.515,19.101,19.045
 3060,   5.310,   4.345,18.969,19.409,19.378
 3063,  11.015,  -1.473,18.483,19.171,19.052
 3075,   7.715,   1.837,18.834,19.420,19.348
 3077,  10.675,  -1.198,16.701,17.442,17.582
 3084,   9.057,   0.404,15.344,16.218,16.448
 3089,   1.565,   8.010,18.130,18.838,18.821
 3096,  12.449,  -3.105,17.486,18.273,18.318
 3101,   8.487,   0.927,18.355,18.828,18.746
 3103,   9.882,  -0.506,18.584,19.181,19.122
 3115,   5.368,   4.053,18.849,19.350,19.247
 3121,   2.822,   6.631,18.803,19.288,19.283
 3124,  -6.952,  16.565,18.877,19.280,19.277
 3128,   9.641,  -0.337,18.723,19.287,19.196
 3129,  -6.205,  15.789,13.263,14.400,15.247
 3130,  -6.081,  15.662,18.186,18.819,19.031
 3137,  -4.689,  14.201,17.997,18.715,18.851
 3140,   3.991,   5.360,18.672,19.156,19.097
 3143,   4.448,   4.881,18.534,19.172,19.103
 3154,   3.134,   6.179,18.915,20.174,19.868
 3157,   3.181,   6.127,16.985,17.677,17.715
 3159,   7.960,   1.253,15.554,16.427,16.649
 3169,   7.204,   1.992,18.906,19.389,19.245
 3172,  -4.839,  14.245,13.980,15.026,15.651
 3176,   4.154,   5.085,18.907,19.546,19.296
 3178,   2.727,   6.535,18.933,19.524,19.354
 3183,   0.908,   8.368,18.710,19.287,19.101
 3199,   1.060,   8.159,15.672,16.479,16.700
 3200,   5.653,   3.474,16.242,17.012,17.143
 3204,  -7.685,  17.029,18.855,19.336,19.250
 3209,   3.895,   5.197,18.765,19.306,19.261
 3214,   4.606,   4.453,18.612,19.187,19.128
 3237,   6.304,   2.633,15.582,15.987,16.238
 3248,   8.021,   0.858,18.946,19.503,19.510
 3250,  13.398,  -4.639,18.834,19.365,19.356
 3259,   7.658,   1.168,16.947,17.698,17.784
 3272,  -6.796,  15.842,18.431,19.132,19.065
 3286,  -4.374,  13.330,18.932,19.381,19.325
 3290,   2.886,   5.929,17.992,18.544,18.465
 3293,   8.939,  -0.257,17.436,17.782,17.960
 3295,  -4.867,  13.790,16.192,16.252,16.505
 3299,  -0.658,   9.486,18.520,19.270,19.174
 3303,  11.292,  -2.701,17.623,18.309,18.326
 3308,   9.413,  -0.796,16.603,17.368,17.464
 3310,   8.557,   0.075,18.189,18.831,18.813
 3313,   4.197,   4.509,18.136,18.795,18.770
 3315,  -3.749,  12.594,15.769,15.979,16.325
 3316,   0.376,   8.392,16.181,16.922,17.090
 3318,   3.734,   4.964,18.818,19.337,19.209
 3327,  -5.502,  14.341,18.381,19.071,18.901
 3333,  11.298,  -2.784,17.137,17.189,16.954
 3343,  10.266,  -1.790,18.462,19.157,19.140
 3344,   9.979,  -1.500,17.579,17.737,17.904
 3356,   7.104,   1.393,17.335,18.025,18.109
 3362,   3.299,   5.252,18.941,19.416,19.311
 3367,   4.201,   4.316,18.727,19.276,19.181
 3371,   1.262,   7.291,16.310,17.080,17.197
 3380,  12.053,  -3.740,18.470,19.125,19.101
 3389,  12.851,  -4.567,18.755,19.389,19.292
 3393,   2.820,   5.655,15.899,16.196,16.492
 3408,   2.360,   6.067,18.968,19.458,19.401
 3409,   0.088,   8.380,18.840,19.275,19.176
 3412,   6.899,   1.423,18.720,19.282,19.195
 3424,  -3.814,  12.240,18.995,19.670,19.470
 3429,   3.161,   5.115,18.608,19.212,19.091
 3437,  -3.421,  11.765,18.661,19.271,19.190
 3440,   4.071,   4.128,18.954,19.511,19.429
 3444,   4.850,   3.322,18.027,17.984,17.477
 3449,   5.197,   2.948,18.273,18.911,18.908
 3451,  -0.020,   8.258,18.912,19.391,19.449
 3458,  -1.160,   9.393,18.461,18.976,18.890
 3462,  -6.282,  14.601,18.879,19.461,19.358
 3478,   3.619,   4.462,18.036,18.722,18.629
 3480,  -8.128,  16.410,16.726,17.442,17.499
 3488,  10.998,  -3.100,18.901,19.405,19.393
 3492,   7.306,   0.638,18.448,19.138,19.129
 3513,  -4.212,  12.303,18.549,19.164,19.009
 3518,  13.424,  -5.677,18.715,19.298,19.293
 3522,   5.393,   2.496,18.693,19.243,19.201
 3527,   6.051,   1.811,16.546,17.310,17.401
 3530,   1.477,   6.462,18.672,19.336,19.208
 3538,   4.068,   3.800,18.874,19.374,19.315
 3561,   2.129,   5.687,17.631,18.351,18.386
 3569,   9.528,  -1.874,18.549,19.137,19.059
 3570,   2.699,   5.080,18.581,19.223,19.142
 3572,   4.364,   3.382,18.937,19.535,19.414
 3573,   6.103,   1.606,18.681,19.258,19.282
 3585,  10.226,  -2.627,18.921,19.386,19.362
 3586,   8.485,  -0.853,17.723,18.390,18.345
 3590,   0.406,   7.370,18.828,19.304,19.209
 3592,  -2.772,  10.605,15.101,15.877,16.088
 3593,   2.143,   5.588,16.542,17.258,17.360
 3596,  -0.510,   8.278,18.664,19.815,19.775
 3601,   9.663,  -2.102,18.220,18.672,18.694
 3607,  13.395,  -5.916,18.176,18.434,18.660
 3609,   9.359,  -1.806,16.839,16.842,16.592
 3610,  -4.673,  12.488,18.973,19.359,19.309
 3615,  -4.751,  12.551,18.868,19.344,19.250
 3617,   6.752,   0.832,17.192,17.871,17.961
 3627,   5.916,   1.652,18.435,19.016,19.036
 3633,   0.516,   7.118,18.281,18.924,18.775
 3642,  12.387,  -5.004,18.742,19.261,19.164
 3649,   5.045,   2.457,18.047,18.606,18.493
 3660,   2.298,   5.225,18.536,19.090,18.967
 3662,  -5.504,  13.167,18.850,19.350,19.252
 3664,   4.733,   2.740,18.967,19.461,19.347
 3667,   7.900,  -0.496,16.862,17.612,17.700
 3673,   5.937,   1.477,18.552,19.080,19.033
 3675,   9.471,  -2.140,17.950,18.679,18.701
 3676,   6.691,   0.693,17.558,17.926,18.021
 3680,  -1.597,   9.118,17.775,18.427,18.438
 3690,   0.701,   6.731,18.272,18.826,18.714
