Name,H,A
"   195 Eurykleia",9.01,0.0599
"   196 Philomela",6.54,0.2299
"   197 Arete",9.18,0.4417
"   198 Ampella",8.33,0.2517
"   200 Dynamene",8.26,0.0533
"   201 Penelope",8.43,0.1604
"   202 Chryseis",7.42,0.2562
"   203 Pompeja",8.76,0.0410
"   204 Kallisto",8.89,0.2082
"   205 Martha",9.23,0.0553
"   207 Hedda",9.92,0.0552
"   208 Lacrimosa",8.96,0.2696
"   209 Dido",8.24,0.0349
"   210 Isabella",9.33,0.0436
"   211 Isolda",7.89,0.0602
"   212 Medea",8.28,0.0465
"   213 Lilaea",8.64,0.0897
"   214 Aschera",9.1,0.5220
"   215 Oenone",9.4,0.2044
"   216 Kleopatra",7.30,0.1164
"   217 Eudora",9.80,0.0484
"   218 Bianca",8.60,0.1746
"   219 Thusnelda",9.32,0.2009
"   220 Stephania",11.1,0.0726
"   221 Eos",7.67,0.1400
"   222 Lucia",9.13,0.1318
"   223 Rosa",9.68,0.0309
"   224 Oceana",8.59,0.1694
"   226 Weringia",9.9,0.2035
"   227 Philosophia",9.0,0.0768
"   228 Agathe",12.48,0.2082
"   230 Athamantis",7.35,0.1708
"   231 Vindobona",9.5,0.0545
"   232 Russia",10.25,0.0494
"   233 Asterope",8.21,0.0870
"   234 Barbara",9.02,0.2276
"   235 Carolina",8.8,0.1580
"   236 Honoria",8.18,0.1271
"   237 Coelestina",9.24,0.2108
"   238 Hypatia",8.18,0.0428
"   239 Adrastea",10.4,0.0777
"   240 Vanadis",9.00,0.0411
"   241 Germania",7.58,0.0575
"   242 Kriemhild",9.20,0.2440
"   243 Ida",9.94,0.2383
"   244 Sita",11.9,0.1941
"   245 Vera",7.82,0.2082
"   246 Asporina",8.62,0.1744
"   247 Eukrate",8.04,0.0595
"   248 Lameia",10.2,0.0615
"   249 Ilse",11.33,0.0428
"   250 Bettina",7.58,0.2581
"   251 Sophia",9.9,0.2188
"   252 Clementina",9.7,0.0843
"   253 Mathilde",10.3,0.0436
"   254 Augusta",12.13,0.1695
"   255 Oppavia",10.39,0.0374
"   256 Walpurga",9.80,0.0530
"   257 Silesia",9.47,0.0545
"   258 Tyche",8.50,0.1676
"   259 Aletheia",7.76,0.0436
"   261 Prymno",9.44,0.1141
"   263 Dresda",10.2,0.2263
"   264 Libussa",8.42,0.2971
"   265 Anna",11.9,0.1045
"   266 Aline",8.80,0.0448
"   267 Tirza",10.1,0.0402
"   268 Adorea",8.28,0.0440
"   269 Justitia",9.7,0.0974
"   270 Anahita",8.75,0.2166
"   271 Penthesilea",9.80,0.0633
"   272 Antonia",10.6,0.1443
"   273 Atropos",10.26,0.1624
"   274 Philagoria",9.9,0.2282
"   275 Sapientia",8.85,0.036
"   276 Adelheid",8.5,0.0450
"   277 Elvira",9.84,0.2770
"   278 Paulina",9.3,0.2505
"   280 Philia",10.9,0.0444
"   281 Lucretia",12.02,0.1987
"   282 Clorinde",10.91,0.0502
"   283 Emma",8.72,0.0262
"   284 Amalia",10.05,0.0602
"   285 Regina",10.7,0.0547
"   286 Iclea",8.9,0.0508
"   287 Nephthys",8.30,0.1851
"   288 Glauke",9.84,0.1973
"   289 Nenetta",9.51,0.2438
"   291 Alice",11.45,0.2075
"   292 Ludovica",9.9,0.2652
"   293 Brasilia",9.94,0.0615
"   294 Felicia",10.1,0.0910
"   295 Theresia",10.19,0.1930
"   297 Caecilia",9.1,0.1796
"   299 Thora",11.3,0.1673
"   301 Bavaria",10.2,0.0546
"   302 Clarissa",10.89,0.0524
"   303 Josephina",8.8,0.0594
"   304 Olga",9.74,0.0488
"   305 Gordonia",8.77,0.2269
"   306 Unitas",8.96,0.2112
"   307 Nike",10.12,0.0524
"   308 Polyxo",8.17,0.0482
"   309 Fraternitas",10.6,0.0595
"   310 Margarita",10.0,0.1250
"   311 Claudia",10.0,0.3381
"   312 Pierretta",8.89,0.1967
"   313 Chaldaea",8.90,0.0524
"   314 Rosalia",9.9,0.0787
"   316 Goberta",10.0,0.0925
"   317 Roxane",10.03,0.4928
"   321 Florentina",10.0,0.2296
"   322 Phaeo",9.01,0.0876
"   324 Bamberga",6.82,0.0628
"   326 Tamara",9.36,0.0368
"   327 Columbia",10.0,0.2360
"   328 Gudrun",8.8,0.0425
"   329 Svea",9.6,0.0399
"   331 Etheridgea",9.62,0.0447
"   332 Siri",9.6,0.1719
"   333 Badenia (1892 A)",9.46,0.0475
"   335 Roberta (1892 C)",8.96,0.0580
"   336 Lacadiera (1892 D)",9.76,0.0459
"   337 Devosa (1892 E)",8.74,0.1614
"   338 Budrosa (1892 F)",8.4,0.1766
"   339 Dorothea (1892 G)",9.24,0.2431
"   340 Eduarda (1892 H)",9.90,0.2118
"   341 California (1892 J)",10.55,0.4950
"   342 Endymion (1892 K)",10.22,0.0393
"   343 Ostara (1892 N)",11.56,0.1151
"   344 Desiderata (1892 M)",8.08,0.0592
"   345 Tercidina (1892 O)",8.71,0.0654
"   346 Hermentaria (1892 P)",7.13,0.2189
"   347 Pariana (1892 Q)",8.96,0.1845
"   348 May (1892 R)",9.40,0.0448
"   349 Dembowska (1892 T)",5.93,0.3840
"   350 Ornamenta (1892 U)",8.37,0.0566
"   351 Yrsa (1892 V)",8.98,0.2884
"   352 Gisela (1893 B)",10.01,0.4261
"   354 Eleonora (1893 A)",6.44,0.1948
"   355 Gabriella (1893 E)",10.1,0.2353
"   356 Liguria (1893 G)",8.22,0.0528
"   357 Ninina (1893 J)",8.72,0.0510
"   358 Apollonia (1893 K)",9.10,0.0506
"   359 Georgia (1893 M)",8.86,0.2621
"   360 Carlova (1893 N)",8.48,0.0535
"   364 Isara (1893 T)",9.86,0.2566
"   365 Corduba (1893 V)",9.1,0.0335
"   366 Vincentina (1893 W)",8.6,0.0800
"   367 Amicitia (1893 AA)",10.5,0.2535
"   368 Haidea (1893 AB)",9.93,0.0389
"   369 Aeria (1893 AE)",8.52,0.1919
"   371 Bohemia (1893 AD)",8.72,0.1924
"   372 Palma (1893 AH)",7.5,0.0655
"   373 Melusina (1893 AJ)",9.13,0.0429
"   374 Burgundia (1893 AK)",8.67,0.3014
"   376 Geometria (1893 AM)",9.49,0.2320
"   377 Campania (1893 AN)",8.89,0.0592
"   378 Holmia (1893 AP)",9.80,0.2971
"   379 Huenna (1894 AQ)",8.87,0.0587
"   380 Fiducia (1894 AR)",9.42,0.0563
"   382 Dodona (1894 AT)",8.77,0.1610
"   383 Janina (1894 AU)",9.91,0.0926
"   384 Burdigala (1894 AV)",9.64,0.1805
"   385 Ilmatar (1894 AX)",7.49,0.2129
"   386 Siegena (1894 AY)",7.43,0.0692
"   387 Aquitania (1894 AZ)",7.41,0.1900
"   388 Charybdis (1894 BA)",8.57,0.0506
"   389 Industria (1894 BB)",7.88,0.1983
"   390 Alma (1894 BC)",10.39,0.2190
"   392 Wilhelmina (1894 BF)",9.70,0.0589
"   393 Lampetia (1894 BG)",8.39,0.0829
"   394 Arduina (1894 BH)",9.66,0.2464
"   395 Delia (1894 BK)",10.38,0.0479
"   396 Aeolia (1894 BL)",10.0,0.1667
"   397 Vienna (1894 BM)",9.31,0.1776
"   398 Admete (1894 BN)",10.30,0.0607
"   399 Persephone (1895 BP)",8.9,0.1838
"   400 Ducrosa (1895 BU)",10.5,0.1423
"   402 Chloe (1895 BW)",9.02,0.1483
"   403 Cyane (1895 BX)",8.9,0.1653
"   404 Arsinoe (1895 BY)",9.01,0.0461
"   405 Thia (1895 BZ)",8.46,0.0468
"   406 Erna (1895 CB)",10.36,0.0524
"   407 Arachne (1895 CC)",8.88,0.0548
"   408 Fama (1895 CD)",9.2,0.1681
"   409 Aspasia (1895 CE)",7.62,0.0606
"   410 Chloris (1896 CH)",8.30,0.0554
"   411 Xanthe (1896 CJ)",9.2,0.0831
"   412 Elisabetha (1896 CK)",9.1,0.0536
"   413 Edburga (1896 CL)",10.18,0.1466
"   415 Palatia (1896 CO)",9.21,0.0628
"   416 Vaticana (1896 CS)",7.89,0.1689
"   417 Suevia (1896 CT)",9.34,0.1960
"   418 Alemannia (1896 CV)",9.77,0.1878
"   419 Aurelia (1896 CW)",8.42,0.0455
"   423 Diotima (1896 DB)",7.24,0.0515
"   424 Gratia (1896 DF)",9.5,0.0279
"   425 Cornelia (1896 DC)",9.6,0.0475
"   426 Hippo (1897 DH)",8.42,0.0469
"   427 Galene (1897 DJ)",10.0,0.2364
"   428 Monachia (1897 DK)",11.9,0.1142
"   429 Lotis (1897 DL)",9.82,0.0430
"   430 Hybris (1897 DM)",11.0,0.1206
"   431 Nephele (1897 DN)",8.72,0.0636
"   432 Pythia (1897 DO)",8.84,0.2338
"   435 Ella (1898 DS)",10.23,0.0831
"   437 Rhodia (1898 DP)",10.41,0.7035
"   438 Zeuxo (1898 DU)",9.80,0.0568
"   439 Ohio (1898 EB)",9.83,0.0352
"   441 Bathilde (1898 ED)",8.51,0.1410
"   442 Eichsfeldia (1899 EE)",10.03,0.0386
"   443 Photographica (1899 EF)",10.28,0.1918
"   444 Gyptis (1899 EL)",7.83,0.0490
"   446 Aeternitas (1899 ER)",8.90,0.2361
"   447 Valentine (1899 ES)",8.99,0.0714
"   448 Natalie (1899 ET)",10.30,0.0588
"   449 Hamburga (1899 EU)",9.47,0.0393
"   450 Brigitta (1899 EV)",10.1,0.1229
"   451 Patientia (1899 EY)",6.65,0.0764
"   453 Tea (1900 FA)",10.4,0.1827
"   454 Mathesis (1900 FC)",9.20,0.0555
"   455 Bruchsalia (1900 FG)",8.9,0.0709
"   456 Abnoba (1900 FH)",9.0,0.2335
"   458 Hercynia (1900 FK)",9.63,0.1654
"   459 Signe (1900 FM)",10.44,0.1370
"   460 Scania (1900 FN)",10.7,0.2144
"   462 Eriphyla (1900 FQ)",9.23,0.2829
"   463 Lola (1900 FS)",11.82,0.0829
"   464 Megaira (1901 FV)",9.52,0.0502
"   465 Alekto (1901 FW)",9.8,0.0433
"   467 Laura (1901 FY)",10.8,0.0633
"   468 Lina (1901 FZ)",9.83,0.0430
"   469 Argentina (1901 GE)",8.62,0.0399
"   470 Kilia (1901 GJ)",10.07,0.2379
"   471 Papagena (1901 GN)",6.73,0.1994
"   472 Roma (1901 GP)",8.92,0.2138
"   474 Prudentia (1901 GD)",10.9,0.0720
"   476 Hedwig (1901 GQ)",8.55,0.0493
"   477 Italia (1901 GR)",10.25,0.2769
"   478 Tergeste (1901 GU)",7.98,0.1798
"   479 Caprera (1901 HJ)",9.60,0.0480
"   480 Hansa (1901 GL)",8.38,0.2485
"   482 Petrina (1902 HT)",8.84,0.2372
"   484 Pittsburghia (1902 HX)",9.86,0.2012
"   485 Genua (1902 HZ)",8.2,0.2072
"   486 Cremona (1902 JB)",11.0,0.1631
"   487 Venetia (1902 JL)",8.14,0.2457
"   488 Kreusa (1902 JG)",7.81,0.0589
"   489 Comacina (1902 JM)",8.32,0.0427
"   490 Veritas (1902 JP)",8.32,0.0622
"   491 Carina (1902 JQ)",9.0,0.0743
"   492 Gismonda (1902 JR)",9.9,0.0795
"   493 Griseldis (1902 JS)",10.8,0.0622
"   494 Virtus (1902 JV)",8.96,0.0630
"   495 Eulalia (1902 KG)",10.78,0.0571
"   496 Gryphia (1902 KH)",11.61,0.1676
"   498 Tokio (1902 KU)",8.95,0.0694
"   500 Selinur (1903 LA)",9.2,0.1804
"   501 Urhixidur (1903 LB)",9.3,0.0812
"   502 Sigune (1903 LC)",10.77,0.3405
"   503 Evelyn (1903 LF)",9.2,0.0585
"   504 Cora (1902 LK)",10.0,0.3407
"   505 Cava (1902 LL)",8.61,0.040
"   506 Marion (1903 LN)",8.85,0.0454
"   507 Laodica (1903 LO)",9.2,0.2112
"   508 Princetonia (1903 LQ)",8.4,0.0441
"   509 Iolanda (1903 LR)",8.40,0.2747
"   510 Mabella (1903 LT)",9.73,0.0687
"   511 Davida (1903 LU)",6.22,0.0540
"   513 Centesima (1903 LY)",9.75,0.0885
"   514 Armida (1903 MB)",9.04,0.0379
"   515 Athalia (1903 ME)",11.23,0.0390
"   516 Amherstia (1903 MG)",8.27,0.1627
"   517 Edith (1903 MH)",9.35,0.0387
"   518 Halawe (1903 MO)",11.00,0.2880
"   519 Sylvania (1903 MP)",9.14,0.1676
"   520 Franziska (1903 MV)",10.61,0.1226
"   521 Brixia (1904 NB)",8.31,0.0626
"   523 Ada (1904 ND)",9.8,0.2512
"   524 Fidelio (1904 NN)",9.83,0.0402
"   526 Jena (1904 NQ)",10.17,0.0877
"   527 Euryanthe (1904 NR)",10.3,0.0576
"   529 Preziosa (1904 NT)",10.06,0.1632
"   530 Turandot (1904 NV)",9.29,0.0472
"   531 Zerlina (1904 NW)",12.0,0.1460
"   532 Herculina (1904 NY)",5.81,0.1694
"   533 Sara (1904 NZ)",9.6,0.2479
"   534 Nassovia (1904 OA)",9.77,0.1991
"   535 Montague (1904 OC)",9.3,0.0514
"   537 Pauly (1904 OG)",8.7,0.3489
"   538 Friederike (1904 OK)",9.5,0.0641
"   539 Pamina (1904 OL)",10.0,0.0800
"   540 Rosamunde (1904 ON)",10.76,0.2426
"   541 Deborah (1904 OO)",10.1,0.0496
"   542 Susanna (1904 OQ)",9.36,0.1843
"   543 Charlotte (1904 OT)",9.40,0.2599
