Name,H,A
"   755 Quintilla (1908 CZ)",9.81,0.1621
"   756 Lilliana (1908 DC)",9.9,0.0500
"   757 Portlandia (1908 EJ)",10.20,0.1427
"   758 Mancunia (1912 PE)",8.16,0.1317
"   759 Vinifera (1913 SJ)",10.6,0.0548
"   760 Massinga (1913 SL)",7.96,0.2276
"   762 Pulcova (1913 SQ)",8.28,0.0458
"   764 Gedania (1913 SU)",9.6,0.0840
"   766 Moguntia (1913 SW)",10.15,0.1572
"   767 Bondia (1913 SX)",10.0,0.1024
"   769 Tatjana (1913 TA)",8.90,0.0429
"   770 Bali (1913 TE)",10.9,0.2483
"   771 Libera (1913 TO)",10.49,0.1303
"   772 Tanete (1913 TR)",8.33,0.0594
"   773 Irmintraud (1913 TV)",9.10,0.0440
"   774 Armor (1913 TW)",8.7,0.2529
"   775 Lumiere (1914 TX)",10.3,0.1083
"   776 Berbericia (1914 TY)",7.68,0.0655
"   778 Theobalda (1914 UA)",9.66,0.0589
"   779 Nina (1914 UB)",7.9,0.1440
"   780 Armenia (1914 UC)",9.00,0.0498
"   782 Montefiore (1914 UK)",11.3,0.2919
"   783 Nora (1914 UL)",11.0,0.0635
"   784 Pickeringia (1914 UM)",9.2,0.0555
"   785 Zwetana (1914 UN)",9.45,0.1245
"   786 Bredichina (1914 UO)",8.65,0.0730
"   787 Moskva (1914 UQ)",9.7,0.2559
"   788 Hohensteina (1914 UR)",8.6,0.0787
"   791 Ani (1914 UV)",9.25,0.0329
"   792 Metcalfia (1907 ZC)",10.33,0.0354
"   793 Arizona (1907 ZD)",10.26,0.1659
"   794 Irenaea (1914 VB)",11.2,0.0502
"   795 Fini (1914 VE)",9.9,0.0418
"   796 Sarita (1914 VH)",9.12,0.1966
"   798 Ruth (1914 VT)",9.5,0.1587
"   799 Gudula (1915 WO)",10.2,0.0704
"   801 Helwerthia (1915 WQ)",11.55,0.0384
"   803 Picka (1915 WS)",9.3,0.1181
"   804 Hispania (1915 WT)",7.84,0.0520
"   805 Hormuthia (1915 WW)",9.82,0.0465
"   807 Ceraskia (1915 WY)",10.56,0.1532
"   808 Merxia (1901 GY)",9.70,0.2207
"   813 Baumeia (1915 YR)",11.5,0.2027
"   814 Tauris (1916 YT)",8.74,0.0470
"   815 Coppelia (1916 YU)",10.7,0.2089
"   816 Juliana (1916 YV)",10.4,0.0311
"   817 Annika (1916 YW)",10.6,0.1740
"   818 Kapteynia (1916 YZ)",9.2,0.1655
"   820 Adriana (1916 ZB)",10.4,0.0204
"   823 Sisigambis (1916 ZG)",11.1,0.1793
"   824 Anastasia (1916 ZH)",10.41,0.1039
"   825 Tanina (1916 ZL)",11.50,0.2624
"   826 Henrika (1916 ZO)",11.5,0.1435
"   828 Lindemannia (1916 ZX)",10.33,0.0457
"   829 Academia (1916 ZY)",11.0,0.0484
"   834 Burnhamia (1916 AD)",9.39,0.0698
"   838 Seraphina (1916 AH)",10.09,0.0455
"   839 Valborg (1916 AJ)",10.6,0.3534
"   845 Naema (1916 AS)",10.2,0.0788
"   846 Lipperta (1916 AT)",10.26,0.0506
"   847 Agnia (1915 XX)",10.29,0.1720
"   849 Ara (1912 NY)",8.10,0.2660
"   850 Altona (1916 S24)",9.60,0.0390
"   851 Zeissia (1916 S26)",11.62,0.2646
"   852 Wladilena (1916 S27)",10.0,0.3660
"   853 Nansenia (1916 S28)",11.67,0.0511
"   857 Glasenappia (1916 S33)",11.32,0.2318
"   858 El Djezair (1916 a)",10.2,0.3197
"   860 Ursina (1917 BD)",10.26,0.1618
"   861 Aida (1917 BE)",9.60,0.0571
"   862 Franzia (1917 BF)",9.8,0.1368
"   865 Zubaida (1917 BO)",11.6,0.0972
"   866 Fatme (1917 BQ)",9.5,0.0473
"   867 Kovacia (1917 BS)",11.4,0.0923
"   868 Lova (1917 BU)",10.22,0.0524
"   869 Mellena (1917 BV)",11.8,0.0565
"   872 Holda (1917 BZ)",9.91,0.2127
"   873 Mechthild (1917 CA)",11.49,0.0531
"   874 Rotraut (1917 CC)",10.1,0.0554
"   875 Nymphe (1917 CF)",11.1,0.2346
"   876 Scott (1917 CH)",10.89,0.1626
"   877 Walkure (1915 S7)",10.71,0.0623
"   882 Swetlana (1917 CM)",10.6,0.0588
"   885 Ulrike (1917 CX)",10.6,0.0830
"   886 Washingtonia (1917 b)",9.3,0.0713
"   888 Parysatis (1918 DC)",9.51,0.1392
"   890 Waltraut (1918 DK)",10.78,0.1153
"   891 Gunhild (1918 DQ)",9.9,0.0718
"   893 Leopoldina (1918 DS)",9.47,0.0497
"   894 Erda (1918 DT)",9.6,0.2300
"   896 Sphinx (1918 DV)",11.6,0.1971
"   897 Lysistrata (1918 DZ)",10.37,0.2619
"   899 Jokaste (1918 EB)",10.14,0.2026
"   900 Rosalinde (1918 EC)",11.74,0.1008
"   904 Rockefellia (1918 EO)",10.3,0.0561
"   905 Universitas (1918 ES)",11.59,0.0849
"   907 Rhoda (1918 EU)",9.76,0.0560
"   908 Buda (1918 EX)",10.69,0.1576
"   910 Anneliese (1919 FB)",10.4,0.0605
"   912 Maritima (1919 FJ)",9.2,0.1115
"   914 Palisana (1919 FN)",8.76,0.0943
"   916 America (1915 S1)",11.4,0.0530
"   917 Lyka (1915 S4)",11.5,0.0891
"   918 Itha (1919 FR)",10.6,0.2220
"   919 Ilsebill (1918 EQ)",11.30,0.0698
"   920 Rogeria (1919 FT)",11.19,0.1035
"   921 Jovita (1919 FV)",9.9,0.0297
"   923 Herluga (1919 GB)",11.50,0.0421
"   924 Toni (1919 GC)",9.37,0.0432
"   925 Alphonsina (1920 GM)",8.33,0.2786
"   926 Imhilde (1920 GN)",10.5,0.0570
"   928 Hildrun (1920 GP)",9.9,0.0365
"   930 Westphalia (1920 GS)",11.1,0.0366
"   931 Whittemora (1920 GU)",9.26,0.1704
"   933 Susi (1927 CH)",12.5,0.0707
"   934 Thuringia (1920 HK)",10.0,0.0471
"   935 Clivia (1920 HM)",12.8,0.1974
"   936 Kunigunde (1920 HN)",10.4,0.1129
"   938 Chlosinde (1920 HQ)",11.3,0.1178
"   943 Begonia (1920 HX)",9.77,0.0456
"   945 Barcelona (1921 JB)",10.13,0.2416
"   946 Poesia (1921 JC)",10.42,0.0627
"   947 Monterosa (1921 JD)",9.80,0.2937
"   949 Hel (1921 JK)",9.70,0.0487
"   950 Ahrensa (1921 JP)",11.1,0.1793
"   952 Caia (1916 S61)",9.3,0.0554
"   953 Painleva (1921 JT)",10.0,0.1670
"   954 Li (1921 JU)",9.94,0.0555
"   955 Alstede (1921 JV)",10.7,0.2135
"   957 Camelia (1921 JX)",9.9,0.0429
"   959 Arne (1921 KF)",10.6,0.0446
"   961 Gunnie (1921 KM)",11.4,0.0373
"   965 Angelica (1921 KT)",10.2,0.0739
"   966 Muschi (1921 KU)",9.91,0.3497
"   967 Helionape (1921 KV)",11.8,0.1782
"   968 Petunia (1921 KW)",10.01,0.1803
"   969 Leocadia (1921 KZ)",12.57,0.0435
"   971 Alsatia (1921 LF)",10.05,0.0415
"   972 Cohnia (1922 LK)",9.50,0.0489
"   974 Lioba (1922 LS)",10.30,0.3965
"   975 Perseverantia (1922 LT)",10.41,0.1726
"   977 Philippa (1922 LV)",9.67,0.0555
"   978 Aidamina (1922 LY)",9.73,0.0365
"   979 Ilsewa (1922 MC)",9.7,0.1567
"   980 Anacostia (1921 W19)",7.85,0.1723
"   981 Martina (1917 S92)",10.57,0.1254
"   982 Franklina (1922 MD)",9.9,0.1838
"   983 Gunila (1922 ME)",9.58,0.0477
"   984 Gretia (1922 MH)",9.03,0.4239
"   986 Amelia (1922 MQ)",9.3,0.1183
"   987 Wallia (1922 MR)",9.5,0.1765
"   988 Appella (1922 MT)",11.5,0.0871
"   989 Schwassmannia (1922 MW)",11.8,0.2035
"   990 Yerkes (1922 MZ)",11.7,0.1303
"   991 McDonalda (1922 NB)",11.12,0.0638
"   992 Swasey (1922 ND)",10.5,0.1132
"   994 Otthild (1923 NL)",10.30,0.2247
"   995 Sternberga (1923 NP)",10.2,0.1341
"   996 Hilaritas (1923 NM)",10.88,0.0901
"   997 Priska (1923 NR)",12.4,0.0801
"   998 Bodea (1923 NU)",11.5,0.0211
"   999 Zachia (1923 NW)",10.8,0.1994
"  1000 Piazzia (1923 NZ)",10.6,0.1119
"  1002 Olbersia (1923 OB)",10.9,0.0621
"  1005 Arago (1923 OT)",9.9,0.0697
"  1006 Lagrangea (1923 OU)",11.3,0.0670
"  1008 La Paz (1923 PD)",10.6,0.0819
"  1010 Marlene (1923 PF)",10.6,0.0647
"  1012 Sarema (1924 PM)",12.41,0.0430
"  1013 Tombecka (1924 PQ)",10.12,0.1552
"  1017 Jacqueline (1924 QL)",11.0,0.0544
"  1018 Arnolda (1924 QM)",10.62,0.3701
"  1021 Flammario (1924 RG)",8.98,0.0458
"  1022 Olympiada (1924 RT)",10.2,0.1600
"  1023 Thomana (1924 RU)",9.76,0.0649
"  1024 Hale (A923 YO13)",10.7,0.0594
"  1027 Aesculapia (A923 YO11)",10.8,0.0981
"  1029 La Plata (1924 RK)",10.88,0.1819
"  1030 Vitja (1924 RQ)",10.2,0.0326
"  1031 Arctica (1924 RR)",9.56,0.0465
"  1032 Pafuri (1924 SA)",10.00,0.0591
"  1033 Simona (1924 SM)",11.1,0.1147
"  1034 Mozartia (1924 SS)",12.1,0.3567
"  1035 Amata (1924 SW)",10.2,0.0522
"  1039 Sonneberga (1924 TL)",11.4,0.0476
"  1040 Klumpkea (1925 BD)",10.3,0.0630
"  1041 Asta (1925 FA)",10.1,0.0591
"  1043 Beate (1925 HB)",9.6,0.2147
"  1044 Teutonia (1924 RO)",10.7,0.3340
"  1048 Feodosia (1924 TP)",9.75,0.0452
"  1049 Gotho (1925 RB)",10.4,0.0109
"  1054 Forsytia (1925 WD)",10.4,0.0648
"  1057 Wanda (1925 QB)",10.96,0.0446
"  1062 Ljuba (1925 TD)",9.85,0.0668
"  1063 Aquilegia (1925 XA)",11.38,0.1572
"  1064 Aethusa (1926 PA)",10.6,0.3202
"  1069 Planckia (1927 BC)",9.30,0.2158
"  1071 Brita (1924 RE)",10.3,0.0637
"  1072 Malva (1926 TA)",10.8,0.0549
"  1073 Gellivara (1923 OW)",11.7,0.0241
"  1074 Beljawskya (1925 BE)",10.1,0.0772
"  1075 Helina (1926 SC)",10.15,0.1220
"  1076 Viola (1926 TE)",12.30,0.0415
"  1079 Mimosa (1927 AD)",11.0,0.1367
"  1080 Orchis (1927 QB)",12.20,0.0430
"  1081 Reseda (1927 QF)",10.9,0.0372
"  1082 Pirola (1927 UC)",10.41,0.0655
"  1084 Tamariwa (1926 CC)",10.78,0.1165
"  1085 Amaryllis (1927 QH)",9.7,0.0628
"  1086 Nata (1927 QL)",9.5,0.0767
"  1087 Arabis (1927 RD)",9.73,0.2248
"  1089 Tama (1927 WB)",11.7,0.2424
"  1092 Lilium (1924 PN)",10.82,0.0390
"  1093 Freda (1925 LA)",8.83,0.0381
"  1094 Siberia (1926 CB)",11.6,0.0943
"  1095 Tulipa (1926 GS)",10.42,0.1208
"  1096 Reunerta (1928 OB)",10.7,0.0638
"  1097 Vicia (1928 PC)",11.9,0.0831
"  1098 Hakone (1928 RJ)",10.4,0.2404
"  1099 Figneria (1928 RQ)",10.2,0.1415
"  1102 Pepita (1928 VA)",9.40,0.1991
"  1104 Syringa (1928 XA)",12.2,0.0362
"  1105 Fragaria (1929 AB)",10.09,0.1186
"  1107 Lictoria (1929 FB)",9.5,0.0646
"  1108 Demeter (1929 KA)",11.91,0.0464
"  1112 Polonia (1928 PE)",10.05,0.1319
"  1113 Katja (1928 QC)",9.3,0.2071
"  1114 Lorraine (1928 WA)",10.0,0.0501
"  1115 Sabauda (1928 XC)",9.6,0.0711
"  1116 Catriona (1929 GD)",9.8,0.1522
"  1119 Euboea (1927 UB)",11.3,0.0590
"  1122 Neith (1928 SB)",11.7,0.4450
"  1124 Stroobantia (1928 TB)",10.67,0.1569
"  1126 Otero (1929 AC)",11.8,0.1786
"  1127 Mimi (1929 AJ)",10.95,0.0336
"  1128 Astrid (1929 EB)",10.8,0.0770
"  1129 Neujmina (1929 PH)",10.20,0.1216
"  1135 Colchis (1929 TA)",10.5,0.0573
"  1136 Mercedes (1929 UA)",11.1,0.1100
"  1137 Raissa (1929 WB)",10.6,0.1592
"  1140 Crimea (1929 YC)",10.28,0.1772
"  1141 Bohmia (1930 AA)",13.3,0.0540
"  1145 Robelmonte (1929 CC)",11.3,0.1186
"  1146 Biarmia (1929 JF)",9.80,0.2190
"  1148 Rarahu (1929 NA)",10.15,0.1393
"  1149 Volga (1929 PF)",10.57,0.0338
"  1152 Pawona (1930 AD)",11.0,0.2167
"  1155 Aenna (1928 BD)",11.9,0.3278
"  1158 Luda (1929 QF)",10.80,0.2329
"  1159 Granada (1929 RD)",11.55,0.0471
"  1161 Thessalia (1929 SF)",11.1,0.0439
"  1165 Imprinetta (1930 HM)",10.6,0.0562
"  1166 Sakuntala (1930 MA)",10.3,0.6460
"  1168 Brandia (1930 QA)",12.53,0.1526
"  1171 Rusthawelia (1930 TA)",9.90,0.0394
"  1174 Marmara (1930 UC)",11.4,0.1065
"  1176 Lucidor (1930 VE)",11.4,0.0821
"  1178 Irmela (1931 EC)",11.81,0.0916
"  1182 Ilona (1927 EA)",11.5,0.2624
"  1183 Jutta (1930 DC)",12.3,0.0797
"  1186 Turnera (1929 PL)",9.20,0.2919
"  1187 Afra (1929 XC)",11.4,0.0527
"  1188 Gothlandia (1930 SB)",11.5,0.2401
"  1189 Terentia (1930 SG)",9.8,0.0566
"  1190 Pelagia (1930 SL)",12.6,0.0636
"  1191 Alfaterna (1931 CA)",10.8,0.0574
"  1194 Aletta (1931 JG)",10.6,0.0479
"  1196 Sheba (1931 KE)",10.26,0.1634
"  1197 Rhodesia (1931 LD)",10.1,0.0783
"  1199 Geldonia (1931 RF)",10.36,0.1299
"  1200 Imperatrix (1931 RH)",10.8,0.0714
"  1201 Strenua (1931 RK)",11.3,0.0401
"  1203 Nanna (1931 TA)",11.6,0.0473
"  1207 Ostenia (1931 VT)",10.8,0.1338
"  1210 Morosovia (1931 LB)",9.91,0.1695
"  1211 Bressole (1931 XA)",11.0,0.0695
"  1213 Algeria (1931 XD)",11.1,0.0767
"  1214 Richilde (1932 AA)",11.1,0.0619
"  1219 Britta (1932 CJ)",11.7,0.2267
"  1222 Tina (1932 LA)",11.2,0.3086
"  1224 Fantasia (1927 SD)",11.36,0.2599
"  1226 Golia (1930 HL)",12.1,0.2388
"  1231 Auricula (1931 TE2)",12.2,0.0798
"  1232 Cortusa (1931 TF2)",10.20,0.1339
"  1233 Kobresia (1931 TG2)",11.5,0.0475
"  1234 Elyna (1931 UF)",10.8,0.0672
"  1236 Thais (1931 VX)",11.93,0.0599
"  1237 Genevieve (1931 XB)",10.70,0.0585
"  1238 Predappia (1932 CA)",12.1,0.0771
"  1239 Queteleta (1932 CB)",12.4,0.0695
"  1240 Centenaria (1932 CD)",10.1,0.0673
"  1241 Dysona (1932 EB1)",9.45,0.0425
"  1242 Zambesia (1932 HL)",10.3,0.0708
"  1243 Pamela (1932 JE)",9.6,0.0483
"  1244 Deira (1932 KE)",11.5,0.0557
"  1245 Calvinia (1932 KF)",9.9,0.2713
"  1246 Chaka (1932 OA)",10.8,0.2351
"  1247 Memoria (1932 QA)",10.52,0.0846
"  1249 Rutherfordia (1932 VB)",11.54,0.2778
"  1250 Galanthus (1933 BD)",12.26,0.0500
"  1252 Celestia (1933 DG)",10.89,0.2573
"  1253 Frisia (1931 TV1)",12.0,0.0657
"  1254 Erfordia (1932 JA)",10.5,0.0409
"  1255 Schilowa (1932 NC)",10.3,0.1389
"  1258 Sicilia (1932 PG)",10.6,0.0564
"  1259 Ogyalla (1933 BT)",10.5,0.0641
"  1261 Legia (1933 FB)",11.1,0.0719
"  1262 Sniadeckia (1933 FE)",10.25,0.0529
"  1263 Varsavia (1933 FF)",10.2,0.0459
"  1264 Letaba (1933 HG)",9.6,0.0725
"  1267 Geertruida (1930 HD)",12.1,0.0466
"  1271 Isergina (1931 TN)",10.3,0.0517
"  1275 Cimbria (1932 WG)",10.72,0.1109
"  1276 Ucclia (1933 BA)",10.8,0.1303
"  1277 Dolores (1933 HA)",11.05,0.0879
"  1281 Jeanne (1933 QJ)",11.5,0.0864
"  1282 Utopia (1933 QM1)",10.2,0.0627
"  1283 Komsomolia (1925 SC)",10.4,0.1856
"  1284 Latvia (1933 OP)",10.24,0.1045
"  1285 Julietta (1933 QF)",10.8,0.0610
"  1287 Lorcia (1933 QL)",11.07,0.1328
"  1289 Kutaissi (1933 QR)",10.73,0.1374
"  1291 Phryne (1933 RA)",10.3,0.1818
"  1294 Antwerpia (1933 UB1)",10.6,0.1220
"  1296 Andree (1933 WE)",11.7,0.1209
"  1298 Nocturna (1934 AE)",11.0,0.0578
"  1300 Marcelle (1934 CL)",11.4,0.0995
"  1301 Yvonne (1934 EA)",11.3,0.1632
"  1304 Arosa (1928 KC)",9.1,0.3480
"  1306 Scythia (1930 OB)",9.71,0.0512
"  1308 Halleria (1931 EB)",10.80,0.0454
"  1311 Knopfia (1933 FF1)",12.3,0.1178
"  1312 Vassar (1933 OT)",10.7,0.0643
"  1314 Paula (1933 SC)",12.68,0.1171
"  1318 Nerina (1934 FG)",12.2,0.1811
"  1320 Impala (1934 JG)",10.8,0.0775
"  1321 Majuba (1934 JH)",10.28,0.1439
"  1325 Inanda (1934 NR)",12.1,0.3756
"  1326 Losaka (1934 NS)",10.92,0.1499
"  1327 Namaqua (1934 RT)",12.0,0.0404
"  1330 Spiridonia (1925 DB)",10.0,0.0498
"  1331 Solvejg (1933 QS)",10.14,0.1509
"  1332 Marconia (1934 AA)",10.5,0.0756
"  1334 Lundmarka (1934 OB)",10.3,0.0600
"  1336 Zeelandia (1934 RW)",10.66,0.2183
"  1337 Gerarda (1934 RA1)",11.2,0.0441
"  1339 Desagneauxa (1934 XB)",10.7,0.1589
"  1340 Yvette (1934 YA)",11.10,0.0958
"  1341 Edmee (1935 BA)",10.58,0.1371
"  1342 Brabantia (1935 CV)",11.35,0.1573
"  1343 Nicole (1935 FC)",10.9,0.1076
"  1347 Patria (1931 VW)",11.2,0.0386
"  1350 Rosselia (1934 TA)",10.78,0.1579
"  1351 Uzbekistania (1934 TF)",9.9,0.0606
"  1352 Wawel (1935 CE)",11.1,0.1491
"  1353 Maartje (1935 CU)",9.8,0.1073
"  1354 Botha (1935 GK)",11.0,0.0225
"  1356 Nyanza (1935 JH)",10.2,0.0462
"  1357 Khama (1935 ND)",11.03,0.0272
"  1358 Gaika (1935 OB)",12.4,0.0585
"  1359 Prieska (1935 OC)",10.3,0.0413
"  1360 Tarka (1935 OD)",11.4,0.0790
"  1361 Leuschneria (1935 QA)",10.9,0.0924
"  1366 Piccolo (1932 WA)",10.45,0.1538
"  1368 Numidia (1935 HD)",10.92,0.2035
"  1369 Ostanina (1935 QB)",10.6,0.0545
"  1372 Haremari (1935 QK)",11.0,0.0409
"  1378 Leonce (1936 DB)",12.2,0.0773
"  1383 Limburgia (1934 RV)",12.0,0.0891
"  1384 Kniertje (1934 RX)",11.5,0.3077
"  1385 Gelria (1935 MJ)",10.70,0.1883
"  1388 Aphrodite (1935 SS)",10.9,0.1317
"  1392 Pierre (1936 FO)",11.72,0.0519
"  1396 Outeniqua (1936 PF)",11.9,0.2335
"  1398 Donnera (1936 QL)",10.2,0.1913
"  1403 Idelsonia (1936 QA)",11.5,0.0945
"  1405 Sibelius (1936 RE)",12.5,0.1432
"  1406 Komppa (1936 RF)",11.4,0.1517
"  1407 Lindelof (1936 WC)",10.9,0.2309
"  1408 Trusanda (1936 WF)",11.2,0.0668
"  1409 Isko (1937 AK)",11.1,0.0805
"  1410 Margret (1937 AL)",11.0,0.1763
"  1411 Brauna (1937 AM)",10.90,0.0794
"  1413 Roucarie (1937 CD)",11.3,0.1677
"  1414 Jerome (1937 CE)",13.0,0.0652
"  1415 Malautra (1937 EA)",12.19,0.1123
"  1416 Renauxa (1937 EC)",10.6,0.1459
"  1418 Fayeta (1903 RG)",12.09,0.2571
"  1421 Esperanto (1936 FQ)",10.30,0.0714
"  1423 Jose (1936 QM)",10.8,0.1632
"  1424 Sundmania (1937 AJ)",9.8,0.0559
"  1425 Tuorla (1937 GB)",11.3,0.2390
"  1426 Riviera (1937 GF)",10.80,0.3546
"  1427 Ruvuma (1937 KB)",11.1,0.0657
"  1428 Mombasa (1937 NO)",10.2,0.0240
"  1434 Margot (1936 FD1)",10.43,0.1353
"  1435 Garlena (1936 WE)",13.0,0.0432
"  1436 Salonta (1936 YA)",10.2,0.0339
"  1441 Bolyai (1937 WA)",13.10,0.0467
"  1444 Pannonia (1938 AE)",11.3,0.4748
"  1448 Lindbladia (1938 DF)",12.8,0.0378
"  1450 Raimonda (1938 DP)",12.3,0.1387
"  1458 Mineura (1937 RC)",11.3,0.1502
"  1459 Magnya (1937 VA)",10.3,0.2168
"  1461 Jean-Jacques (1937 YL)",10.01,0.1613
"  1462 Zamenhof (1938 CA)",11.2,0.1268
"  1463 Nordenmarkia (1938 CB)",10.5,0.0514
"  1466 Mundleria (1938 KA)",12.1,0.0664
"  1469 Linzia (1938 QD)",9.8,0.0734
"  1470 Carla (1938 SD)",11.1,0.0515
"  1471 Tornio (1938 SL1)",11.0,0.0849
"  1473 Ounas (1938 UT)",11.7,0.1089
"  1481 Tubingia (1938 DR)",10.34,0.1167
"  1484 Postrema (1938 HC)",10.8,0.0137
"  1487 Boda (1938 WC)",11.1,0.1195
"  1489 Attila (1939 GC)",11.6,0.0700
"  1490 Limpopo (1936 LB)",12.00,0.0811
"  1492 Oppolzer (1938 FL)",12.9,0.0890
"  1493 Sigrid (1938 QB)",11.99,0.0489
"  1495 Helsinki (1938 SW)",11.4,0.1200
"  1501 Baade (1938 UJ)",11.9,0.2093
"  1502 Arenda (1938 WB)",11.5,0.0367
"  1503 Kuopio (1938 XD)",10.4,0.2995
"  1504 Lappeenranta (1939 FM)",11.88,0.1939
"  1505 Koranna (1939 HH)",11.3,0.0929
"  1510 Charlois (1939 DC)",11.5,0.1033
"  1511 Dalera (1939 FB)",12.70,0.0614
"  1516 Henry (1938 BG)",11.9,0.0536
"  1517 Beograd (1938 FD)",11.10,0.0491
"  1519 Kajaani (1938 UB)",11.5,0.0700
"  1520 Imatra (1938 UY)",10.3,0.0615
"  1524 Joensuu (1939 SB)",10.6,0.0462
"  1525 Savonlinna (1939 SC)",12.8,0.1306
"  1532 Inari (1938 SM)",10.7,0.0562
"  1533 Saimaa (1939 BD)",10.82,0.1216
"  1534 Nasi (1939 BK)",11.8,0.0754
"  1535 Paijanne (1939 RC)",11.3,0.1299
"  1537 Transylvania (1940 QA)",12.3,0.1619
"  1540 Kevola (1938 WK)",10.7,0.0433
"  1541 Estonia (1939 CK)",11.3,0.1434
"  1542 Schalen (1941 QE)",10.5,0.0656
"  1544 Vinterhansenia (1941 UK)",11.9,0.0784
"  1545 Thernoe (1941 UW)",11.7,0.0962
"  1548 Palomaa (1935 FK)",11.50,0.0634
"  1549 Mikko (1937 GA)",12.3,0.3761
"  1552 Bessel (1938 DE1)",11.3,0.2042
"  1562 Gondolatsch (1943 EE)",11.9,0.2536
"  1569 Evita (1948 PA)",11.2,0.0558
"  1571 Cesco (1950 FJ)",11.5,0.0530
"  1572 Posnania (1949 SC)",10.1,0.1563
"  1573 Vaisala (1949 UA)",12.30,0.2226
"  1575 Winifred (1950 HH)",12.0,0.2452
"  1576 Fabiola (1948 SA)",11.04,0.0913
"  1581 Abanderada (1950 LA1)",10.85,0.0523
"  1582 Martir (1950 LY)",11.2,0.0570
"  1584 Fuji (1927 CR)",10.67,0.2025
"  1585 Union (1947 RG)",10.66,0.0378
"  1586 Thiele (1939 CJ)",12.1,0.1575
"  1590 Tsiolkovskaja (1933 NA)",11.6,0.2095
"  1591 Baize (1951 KA)",11.3,0.1056
"  1592 Mathieu (1951 LA)",11.9,0.2232
"  1594 Danjon (1949 WA)",11.8,0.1743
"  1595 Tanga (1930 ME)",12.02,0.0557
"  1596 Itzigsohn (1951 EV)",10.6,0.0496
"  1598 Paloque (1950 CA)",12.7,0.1299
"  1599 Giomus (1950 WA)",11.00,0.0450
"  1603 Neva (1926 VH)",10.8,0.0594
"  1604 Tombaugh (1931 FH)",10.4,0.1038
"  1605 Milankovitch (1936 GA)",10.2,0.1529
"  1607 Mavis (1950 RA)",11.3,0.2826
"  1609 Brenda (1951 NL)",10.5,0.1147
"  1613 Smiley (1950 SD)",11.6,0.0883
"  1614 Goldschmidt (1952 HA)",10.70,0.0432
"  1615 Bardwell (1950 BW)",11.38,0.0642
"  1616 Filipoff (1950 EA)",11.2,0.0751
"  1618 Dawn (1948 NF)",11.1,0.1157
"  1621 Druzhba (1926 TM)",11.63,0.2373
"  1624 Rabe (1931 TT1)",11.3,0.1028
"  1628 Strobel (1923 OG)",10.02,0.0532
"  1629 Pecker (1952 DB)",12.4,0.1847
"  1630 Milet (1952 DA)",11.5,0.1459
"  1631 Kopff (1936 UC)",12.2,0.2497
"  1632 Siebohme (1941 DF)",11.7,0.0748
"  1633 Chimay (1929 EC)",10.6,0.0854
"  1636 Porter (1950 BH)",12.2,0.1197
"  1637 Swings (1936 QO)",10.4,0.0415
"  1639 Bower (1951 RB)",10.98,0.0541
"  1641 Tana (1935 OJ)",10.5,0.0739
"  1645 Waterfield (1933 OJ)",11.0,0.0991
"  1650 Heckmann (1937 TG)",11.56,0.0497
"  1654 Bojeva (1931 TL)",10.6,0.1162
"  1655 Comas Sola (1929 WG)",11.04,0.0726
"  1659 Punkaharju (1940 YL)",9.8,0.1654
"  1663 van den Bos (1926 PE)",11.8,0.1584
"  1669 Dagmar (1934 RS)",10.97,0.0565
"  1674 Groeneveld (1938 DS)",11.06,0.0888
"  1675 Simonida (1938 FB)",11.8,0.2480
"  1678 Hveen (1940 YH)",10.8,0.0486
"  1679 Nevanlinna (1941 FR)",10.60,0.0388
"  1680 Per Brahe (1942 CH)",11.0,0.2903
"  1684 Iguassu (1951 QE)",10.9,0.1202
"  1687 Glarona (1965 SC)",10.25,0.1219
"  1690 Mayrhofer (1948 VB)",11.0,0.0767
"  1692 Subbotina (1936 QD)",11.2,0.0479
"  1693 Hertzsprung (1935 LA)",10.97,0.0484
"  1695 Walbeck (1941 UO)",12.40,0.0504
"  1698 Christophe (1934 CS)",11.20,0.0938
"  1700 Zvezdara (1940 QC)",12.47,0.0425
"  1701 Okavango (1953 NJ)",10.6,0.2141
"  1702 Kalahari (A924 NC)",11.03,0.0640
"  1703 Barry (1930 RB)",12.0,0.2187
"  1705 Tapio (1941 SL1)",13.2,0.1175
"  1708 Polit (1929 XA)",11.7,0.0392
"  1712 Angola (1935 KC)",10.1,0.0600
"  1714 Sy (1951 OA)",11.9,0.1088
"  1715 Salli (1938 GK)",12.10,0.0479
"  1716 Peter (1934 GF)",12.0,0.0661
"  1719 Jens (1950 DP)",11.6,0.1489
"  1721 Wells (1953 TD3)",10.9,0.0528
"  1723 Klemola (1936 FX)",10.06,0.1707
"  1724 Vladimir (1932 DC)",11.30,0.0441
"  1726 Hoffmeister (1933 OE)",12.3,0.0370
"  1731 Smuts (1948 PH)",10.4,0.0604
"  1732 Heike (1943 EY)",10.8,0.1108
"  1734 Zhongolovich (1928 TJ)",11.70,0.0456
"  1735 ITA (1948 RJ1)",9.9,0.0790
"  1737 Severny (1966 TJ)",11.0,0.1811
"  1742 Schaifers (1934 RO)",11.20,0.1446
"  1743 Schmidt (4109 P-L)",12.48,0.0603
"  1755 Lorbach (1936 VD)",10.77,0.1117
"  1760 Sandra (1950 GB)",10.9,0.0345
